instrument,start_ms,end_ms,upper,lower,mid,direction,diff_ticks,overlap_at_birth,m1_bar
MNQ 09-26,1784757660000,1784757960000,29108.75,29107,29107.875,1,7,1,1
MNQ 09-26,1784757720000,1784758020000,29095.25,29095,29095.125,1,1,1,2
MNQ 09-26,1784757780000,1784758080000,29088.5,29088.25,29088.375,1,1,1,3
MNQ 09-26,1784757840000,1784758140000,29085.25,29084,29084.625,-1,5,1,4
MNQ 09-26,1784757900000,1784758200000,29079.5,29079.25,29079.375,1,1,1,5
MNQ 09-26,1784758020000,1784758320000,29078.25,29077.5,29077.875,1,3,1,7
MNQ 09-26,1784758080000,1784758380000,29065.75,29065,29065.375,1,3,1,8
MNQ 09-26,1784758140000,1784758440000,29070.25,29069.5,29069.875,-1,3,1,9
MNQ 09-26,1784758200000,1784758500000,29067.25,29066.75,29067,1,2,1,10
MNQ 09-26,1784758260000,1784758560000,29073.5,29072.75,29073.125,-1,3,1,11
MNQ 09-26,1784758320000,1784758620000,29075,29074.5,29074.75,1,2,1,12
MNQ 09-26,1784758380000,1784758680000,29085.75,29085,29085.375,-1,3,1,13
MNQ 09-26,1784758440000,1784758740000,29089,29088,29088.5,1,4,1,14
MNQ 09-26,1784758500000,1784758800000,29085.5,29085.25,29085.375,1,1,2,15
MNQ 09-26,1784758560000,1784758860000,29087.5,29086.75,29087.125,1,3,1,16
MNQ 09-26,1784758620000,1784758920000,29084.5,29084.25,29084.375,-1,1,1,17
MNQ 09-26,1784758680000,1784758980000,29080,29079.25,29079.625,1,3,1,18
MNQ 09-26,1784758740000,1784759040000,29085.75,29085.25,29085.5,-1,2,2,19
MNQ 09-26,1784758800000,1784759100000,29083.25,29082.75,29083,-1,2,1,20
MNQ 09-26,1784758860000,1784759160000,29091,29090.25,29090.625,1,3,1,21
MNQ 09-26,1784758920000,1784759220000,29086.75,29086.25,29086.5,1,2,1,22
MNQ 09-26,1784758980000,1784759280000,29084.75,29084.25,29084.5,1,2,1,23
MNQ 09-26,1784759040000,1784759340000,29083.5,29082.5,29083,-1,4,2,24
MNQ 09-26,1784759100000,1784759400000,29090,29089.25,29089.625,1,3,1,25
MNQ 09-26,1784759160000,1784759460000,29096.75,29096.25,29096.5,-1,2,1,26
MNQ 09-26,1784759220000,1784759520000,29106.25,29105.75,29106,-1,2,1,27
MNQ 09-26,1784759280000,1784759580000,29099.5,29098.5,29099,1,4,1,28
MNQ 09-26,1784759340000,1784759640000,29085.75,29085,29085.375,-1,3,1,29
MNQ 09-26,1784759400000,1784759700000,29082.5,29082.25,29082.375,1,1,1,30
MNQ 09-26,1784759460000,1784759760000,29083.25,29082.25,29082.75,1,4,2,31
MNQ 09-26,1784759520000,1784759820000,29086.25,29086,29086.125,1,1,1,32
MNQ 09-26,1784759580000,1784759880000,29080.25,29080,29080.125,-1,1,1,33
MNQ 09-26,1784759760000,1784760060000,29084.5,29082.5,29083.5,1,8,2,36
MNQ 09-26,1784759880000,1784760180000,29061.25,29060.75,29061,1,2,1,38
MNQ 09-26,1784759940000,1784760240000,29060,29059.5,29059.75,-1,2,1,39
MNQ 09-26,1784760000000,1784760300000,29048.25,29048,29048.125,1,1,1,40
MNQ 09-26,1784760120000,1784760420000,29046.5,29046,29046.25,1,2,1,42
MNQ 09-26,1784760180000,1784760480000,29045.25,29044.5,29044.875,-1,3,1,43
MNQ 09-26,1784760240000,1784760540000,29049,29048.5,29048.75,1,2,1,44
MNQ 09-26,1784760300000,1784760600000,29046.5,29045.75,29046.125,1,3,2,45
MNQ 09-26,1784760420000,1784760720000,29044.25,29043.75,29044,1,2,1,47
MNQ 09-26,1784760480000,1784760780000,29042,29041.75,29041.875,-1,1,1,48
MNQ 09-26,1784760600000,1784760900000,29062.75,29062.5,29062.625,1,1,1,50
MNQ 09-26,1784760660000,1784760960000,29057.25,29057,29057.125,-1,1,1,51
MNQ 09-26,1784760720000,1784761020000,29068.5,29068,29068.25,1,2,1,52
MNQ 09-26,1784760780000,1784761080000,29072.5,29071.75,29072.125,-1,3,1,53
MNQ 09-26,1784760840000,1784761140000,29073,29072.25,29072.625,-1,3,2,54
MNQ 09-26,1784760900000,1784761200000,29079,29078.75,29078.875,-1,1,1,55
MNQ 09-26,1784760960000,1784761260000,29079.5,29078.75,29079.125,1,3,2,56
MNQ 09-26,1784761020000,1784761320000,29083,29082.75,29082.875,-1,1,1,57
MNQ 09-26,1784761080000,1784761380000,29073.75,29073,29073.375,1,3,2,58
MNQ 09-26,1784761200000,1784761500000,29072.75,29071.75,29072.25,1,4,1,60
MNQ 09-26,1784761260000,1784761560000,29069.25,29068.75,29069,-1,2,1,61
MNQ 09-26,1784761380000,1784761680000,29071.75,29071.25,29071.5,1,2,2,63
MNQ 09-26,1784761440000,1784761740000,29068,29067.25,29067.625,-1,3,1,64
MNQ 09-26,1784761560000,1784761860000,29033,29032.5,29032.75,1,2,1,66
MNQ 09-26,1784761620000,1784761920000,29035,29034.5,29034.75,1,2,1,67
MNQ 09-26,1784761680000,1784761980000,29040.25,29039.75,29040,-1,2,1,68
MNQ 09-26,1784761740000,1784762040000,29040,29039.5,29039.75,1,2,2,69
MNQ 09-26,1784761800000,1784762100000,29033.75,29033.5,29033.625,-1,1,1,70
MNQ 09-26,1784761920000,1784762220000,29042,29041.75,29041.875,1,1,1,72
MNQ 09-26,1784761980000,1784762280000,29060.75,29060,29060.375,-1,3,1,73
MNQ 09-26,1784762040000,1784762340000,29067,29066.5,29066.75,-1,2,1,74
MNQ 09-26,1784762160000,1784762460000,29065.25,29064.75,29065,1,2,1,76
MNQ 09-26,1784762220000,1784762520000,29057.5,29056.5,29057,-1,4,1,77
MNQ 09-26,1784762280000,1784762580000,29044.5,29043.25,29043.875,-1,5,1,78
MNQ 09-26,1784762340000,1784762640000,29046.25,29045.75,29046,-1,2,1,79
MNQ 09-26,1784762400000,1784762700000,29043,29042.5,29042.75,1,2,1,80
MNQ 09-26,1784762460000,1784762760000,29047,29046.75,29046.875,-1,1,1,81
MNQ 09-26,1784762520000,1784762820000,29047.75,29046.75,29047.25,-1,4,2,82
MNQ 09-26,1784762580000,1784762880000,29046.5,29046,29046.25,-1,2,2,83
MNQ 09-26,1784762640000,1784762940000,29052,29051.5,29051.75,-1,2,1,84
MNQ 09-26,1784762820000,1784763120000,29059.5,29059,29059.25,-1,2,1,87
MNQ 09-26,1784762880000,1784763180000,29060,29059,29059.5,1,4,2,88
MNQ 09-26,1784762940000,1784763240000,29052.75,29052.5,29052.625,-1,1,1,89
MNQ 09-26,1784763060000,1784763360000,29064,29063.5,29063.75,-1,2,1,91
MNQ 09-26,1784763120000,1784763420000,29068.75,29068,29068.375,1,3,1,92
MNQ 09-26,1784763180000,1784763480000,29073,29072.5,29072.75,1,2,1,93
MNQ 09-26,1784763240000,1784763540000,29074.5,29073.75,29074.125,1,3,1,94
MNQ 09-26,1784763300000,1784763600000,29071.5,29071.25,29071.375,-1,1,1,95
MNQ 09-26,1784763420000,1784763720000,29077.75,29077,29077.375,1,3,1,97
MNQ 09-26,1784763480000,1784763780000,29076,29075.5,29075.75,1,2,1,98
MNQ 09-26,1784763540000,1784763840000,29078,29077.25,29077.625,-1,3,2,99
MNQ 09-26,1784763600000,1784763900000,29079.75,29079.25,29079.5,-1,2,1,100
MNQ 09-26,1784763660000,1784763960000,29092,29091.75,29091.875,1,1,1,101
MNQ 09-26,1784763720000,1784764020000,29091.75,29090.75,29091.25,-1,4,2,102
MNQ 09-26,1784763840000,1784764140000,29094.75,29094.5,29094.625,1,1,1,104
MNQ 09-26,1784763900000,1784764200000,29097,29096.75,29096.875,-1,1,1,105
MNQ 09-26,1784763960000,1784764260000,29118.5,29118.25,29118.375,1,1,1,106
MNQ 09-26,1784764080000,1784764380000,29126.5,29126,29126.25,-1,2,1,108
MNQ 09-26,1784764140000,1784764440000,29136.75,29136.25,29136.5,-1,2,1,109
MNQ 09-26,1784764200000,1784764500000,29128,29127.75,29127.875,-1,1,1,110
MNQ 09-26,1784764320000,1784764620000,29132,29131.5,29131.75,1,2,1,112
MNQ 09-26,1784764440000,1784764740000,29124.25,29124,29124.125,1,1,1,114
MNQ 09-26,1784764500000,1784764800000,29126.75,29126.25,29126.5,-1,2,1,115
MNQ 09-26,1784764560000,1784764860000,29122,29121.5,29121.75,1,2,1,116
MNQ 09-26,1784764620000,1784764920000,29125,29124,29124.5,1,4,2,117
MNQ 09-26,1784764680000,1784764980000,29124.75,29124.25,29124.5,1,2,3,118
MNQ 09-26,1784764740000,1784765040000,29136.75,29136.5,29136.625,-1,1,1,119
MNQ 09-26,1784764800000,1784765100000,29143,29142.75,29142.875,1,1,1,120
MNQ 09-26,1784764860000,1784765160000,29150.75,29150.5,29150.625,-1,1,1,121
MNQ 09-26,1784764920000,1784765220000,29162,29161.75,29161.875,-1,1,1,122
