# meta indicator=AACloseOpenDiffs,version=1.0,subseries=minute_1_always,anchor=boundary_prev_m1_close,overlap=point_in_time_at_birth,bar_spec_independent=true,instrument=6E,tick_size=5E-05,min_diff_ticks=1,extend_bars=50
event_seq,event_type,ts,unix_ms,zone_id,start_ms,end_ms,upper,lower,diff_ticks,direction,overlap_at_birth,m1_bar
0,ZONE_CREATED,2026-07-05 19:09:00.000,1783289340000,D000001,1783289340000,1783292340000,1.1469,1.14685,1,-1,1,9
1,ZONE_CREATED,2026-07-05 19:10:00.000,1783289400000,D000002,1783289400000,1783292400000,1.1469,1.1468,2,1,2,10
2,ZONE_CREATED,2026-07-05 19:17:00.000,1783289820000,D000003,1783289820000,1783292820000,1.1469,1.14685,1,-1,3,16
3,ZONE_CREATED,2026-07-05 19:19:00.000,1783289940000,D000004,1783289940000,1783292940000,1.1469,1.1468,2,1,4,18
4,ZONE_CREATED,2026-07-05 19:20:00.000,1783290000000,D000005,1783290000000,1783293000000,1.1469,1.14685,1,-1,5,19
5,ZONE_CREATED,2026-07-05 19:21:00.000,1783290060000,D000006,1783290060000,1783293060000,1.1469,1.14685,1,1,6,20
6,ZONE_CREATED,2026-07-05 19:22:00.000,1783290120000,D000007,1783290120000,1783293120000,1.1469,1.14685,1,1,7,21
7,ZONE_CREATED,2026-07-05 19:25:00.000,1783290300000,D000008,1783290300000,1783293300000,1.147,1.14695,1,-1,1,24
8,ZONE_CREATED,2026-07-05 19:28:00.000,1783290480000,D000009,1783290480000,1783293480000,1.147,1.14695,1,-1,2,27
9,ZONE_CREATED,2026-07-05 19:29:00.000,1783290540000,D000010,1783290540000,1783293540000,1.147,1.14695,1,-1,3,28
10,ZONE_CREATED,2026-07-05 19:33:00.000,1783290780000,D000011,1783290780000,1783293780000,1.147,1.14695,1,1,4,32
11,ZONE_CREATED,2026-07-05 19:37:00.000,1783291020000,D000012,1783291020000,1783294020000,1.147,1.14695,1,-1,5,36
12,ZONE_CREATED,2026-07-05 19:39:00.000,1783291140000,D000013,1783291140000,1783294140000,1.147,1.14695,1,1,6,38
13,ZONE_CREATED,2026-07-05 19:45:00.000,1783291500000,D000014,1783291500000,1783294500000,1.1471,1.14705,1,1,1,43
14,ZONE_CREATED,2026-07-05 19:46:00.000,1783291560000,D000015,1783291560000,1783294560000,1.1471,1.14705,1,-1,2,44
15,ZONE_CREATED,2026-07-05 19:47:00.000,1783291620000,D000016,1783291620000,1783294620000,1.1471,1.14705,1,1,3,45
16,ZONE_CREATED,2026-07-05 19:49:00.000,1783291740000,D000017,1783291740000,1783294740000,1.1471,1.14705,1,-1,4,46
17,ZONE_CREATED,2026-07-05 19:55:00.000,1783292100000,D000018,1783292100000,1783295100000,1.147,1.14695,1,-1,7,52
18,ZONE_CREATED,2026-07-05 19:58:00.000,1783292280000,D000019,1783292280000,1783295280000,1.147,1.14695,1,1,8,55
19,ZONE_CREATED,2026-07-05 20:05:00.000,1783292700000,D000020,1783292700000,1783295700000,1.1468,1.14675,1,-1,2,62
20,ZONE_CREATED,2026-07-05 20:06:00.000,1783292760000,D000021,1783292760000,1783295760000,1.1468,1.14675,1,-1,3,63
21,ZONE_CREATED,2026-07-05 20:10:00.000,1783293000000,D000022,1783293000000,1783296000000,1.1467,1.14665,1,-1,1,67
22,ZONE_CREATED,2026-07-05 20:12:00.000,1783293120000,D000023,1783293120000,1783296120000,1.1468,1.14675,1,1,3,69
23,ZONE_CREATED,2026-07-05 20:13:00.000,1783293180000,D000024,1783293180000,1783296180000,1.1468,1.14675,1,-1,4,70
24,ZONE_CREATED,2026-07-05 20:16:00.000,1783293360000,D000025,1783293360000,1783296360000,1.1467,1.14665,1,-1,2,73
25,ZONE_CREATED,2026-07-05 20:19:00.000,1783293540000,D000026,1783293540000,1783296540000,1.1467,1.14665,1,-1,3,76
26,ZONE_CREATED,2026-07-05 20:21:00.000,1783293660000,D000027,1783293660000,1783296660000,1.1468,1.14675,1,-1,5,78
27,ZONE_CREATED,2026-07-05 20:22:00.000,1783293720000,D000028,1783293720000,1783296720000,1.1468,1.14675,1,1,6,79
28,ZONE_CREATED,2026-07-05 20:24:00.000,1783293840000,D000029,1783293840000,1783296840000,1.14685,1.14675,2,-1,7,81
29,ZONE_CREATED,2026-07-05 20:26:00.000,1783293960000,D000030,1783293960000,1783296960000,1.1468,1.14675,1,1,8,83
30,ZONE_CREATED,2026-07-05 20:28:00.000,1783294080000,D000031,1783294080000,1783297080000,1.14695,1.14685,2,1,6,85
31,ZONE_CREATED,2026-07-05 20:29:00.000,1783294140000,D000032,1783294140000,1783297140000,1.147,1.14695,1,-1,6,86
32,ZONE_CREATED,2026-07-05 20:32:00.000,1783294320000,D000033,1783294320000,1783297320000,1.147,1.14695,1,1,5,89
33,ZONE_CREATED,2026-07-05 20:35:00.000,1783294500000,D000034,1783294500000,1783297500000,1.147,1.14695,1,1,6,92
34,ZONE_CREATED,2026-07-05 20:36:00.000,1783294560000,D000035,1783294560000,1783297560000,1.147,1.14695,1,-1,7,93
35,ZONE_CREATED,2026-07-05 20:38:00.000,1783294680000,D000036,1783294680000,1783297680000,1.147,1.14695,1,-1,8,95
36,ZONE_CREATED,2026-07-05 20:46:00.000,1783295160000,D000037,1783295160000,1783298160000,1.1471,1.147,2,1,7,103
37,ZONE_CREATED,2026-07-05 20:47:00.000,1783295220000,D000038,1783295220000,1783298220000,1.1471,1.14705,1,-1,2,104
38,ZONE_CREATED,2026-07-05 20:49:00.000,1783295340000,D000039,1783295340000,1783298340000,1.147,1.14695,1,1,8,106
39,ZONE_CREATED,2026-07-05 20:50:00.000,1783295400000,D000040,1783295400000,1783298400000,1.147,1.14695,1,-1,9,107
40,ZONE_CREATED,2026-07-05 20:52:00.000,1783295520000,D000041,1783295520000,1783298520000,1.14695,1.14685,2,-1,10,109
41,ZONE_CREATED,2026-07-05 20:54:00.000,1783295640000,D000042,1783295640000,1783298640000,1.1469,1.14685,1,1,4,110
42,ZONE_CREATED,2026-07-05 20:59:00.000,1783295940000,D000043,1783295940000,1783298940000,1.1471,1.14705,1,-1,3,115
43,ZONE_CREATED,2026-07-05 21:00:00.000,1783296000000,D000044,1783296000000,1783299000000,1.147,1.14695,1,-1,11,116
44,ZONE_CREATED,2026-07-05 21:01:00.000,1783296060000,D000045,1783296060000,1783299060000,1.1469,1.14685,1,1,5,117
45,ZONE_CREATED,2026-07-05 21:03:00.000,1783296180000,D000046,1783296180000,1783299180000,1.147,1.14695,1,1,12,119
46,ZONE_CREATED,2026-07-05 21:04:00.000,1783296240000,D000047,1783296240000,1783299240000,1.147,1.14695,1,1,13,120
47,ZONE_CREATED,2026-07-05 21:05:00.000,1783296300000,D000048,1783296300000,1783299300000,1.1469,1.14685,1,1,6,121
48,ZONE_CREATED,2026-07-05 21:08:00.000,1783296480000,D000049,1783296480000,1783299480000,1.1468,1.14675,1,1,5,124
49,ZONE_CREATED,2026-07-05 21:09:00.000,1783296540000,D000050,1783296540000,1783299540000,1.1468,1.14675,1,-1,6,125
50,ZONE_CREATED,2026-07-05 21:13:00.000,1783296780000,D000051,1783296780000,1783299780000,1.1469,1.1468,2,1,11,129
51,ZONE_CREATED,2026-07-05 21:16:00.000,1783296960000,D000052,1783296960000,1783299960000,1.1471,1.14705,1,1,4,132
