instrument,start_ms,end_ms,upper,lower,mid,direction,diff_ticks,overlap_at_birth,m1_bar
ZB SEP26,1783980420000,1783980480000,110.625,110.59375,110.609375,-1,1,1,69646
ZB SEP26,1783981200000,1783981260000,110.625,110.59375,110.609375,-1,1,1,69658
ZB SEP26,1783981500000,1783981560000,110.625,110.59375,110.609375,-1,1,1,69662
ZB SEP26,1783981860000,1783981920000,110.625,110.59375,110.609375,1,1,1,69665
ZB SEP26,1783982640000,1783982700000,110.65625,110.625,110.640625,1,1,1,69670
ZB SEP26,1783982700000,1783982760000,110.65625,110.625,110.640625,-1,1,2,69671
ZB SEP26,1783982940000,1783983000000,110.65625,110.625,110.640625,1,1,1,69673
ZB SEP26,1783983000000,1783983060000,110.65625,110.625,110.640625,-1,1,2,69674
ZB SEP26,1783983420000,1783983480000,110.59375,110.5625,110.578125,-1,1,1,69678
ZB SEP26,1783984560000,1783984620000,110.59375,110.5625,110.578125,-1,1,1,69687
ZB SEP26,1783984800000,1783984860000,110.59375,110.5625,110.578125,1,1,1,69690
ZB SEP26,1783984920000,1783984980000,110.625,110.59375,110.609375,1,1,1,69692
ZB SEP26,1783985160000,1783985220000,110.625,110.59375,110.609375,-1,1,1,69694
ZB SEP26,1783985340000,1783985400000,110.625,110.59375,110.609375,-1,1,1,69697
ZB SEP26,1783986180000,1783986240000,110.59375,110.5625,110.578125,-1,1,1,69702
ZB SEP26,1783986780000,1783986840000,110.59375,110.5625,110.578125,1,1,1,69709
ZB SEP26,1783986960000,1783987020000,110.59375,110.5625,110.578125,1,1,1,69711
ZB SEP26,1783987440000,1783987500000,110.59375,110.5625,110.578125,-1,1,1,69717
ZB SEP26,1783987500000,1783987560000,110.5625,110.53125,110.546875,-1,1,2,69718
ZB SEP26,1783987680000,1783987740000,110.5625,110.53125,110.546875,1,1,1,69720
ZB SEP26,1783987800000,1783987860000,110.59375,110.5625,110.578125,1,1,1,69722
ZB SEP26,1783987980000,1783988040000,110.625,110.59375,110.609375,-1,1,1,69725
ZB SEP26,1783988400000,1783988460000,110.4375,110.40625,110.421875,1,1,1,69732
ZB SEP26,1783988460000,1783988520000,110.46875,110.4375,110.453125,1,1,2,69733
ZB SEP26,1783988520000,1783988580000,110.46875,110.4375,110.453125,-1,1,2,69734
ZB SEP26,1783989300000,1783989360000,110.53125,110.5,110.515625,1,1,1,69744
ZB SEP26,1783989480000,1783989540000,110.53125,110.5,110.515625,1,1,1,69747
ZB SEP26,1783989900000,1783989960000,110.5625,110.53125,110.546875,1,1,1,69750
ZB SEP26,1783990140000,1783990200000,110.59375,110.5625,110.578125,1,1,1,69753
ZB SEP26,1783990500000,1783990560000,110.65625,110.625,110.640625,-1,1,1,69757
ZB SEP26,1783991040000,1783991100000,110.65625,110.625,110.640625,-1,1,1,69765
ZB SEP26,1783991400000,1783991460000,110.625,110.59375,110.609375,-1,1,1,69771
ZB SEP26,1783991460000,1783991520000,110.625,110.59375,110.609375,1,1,2,69772
ZB SEP26,1783991580000,1783991640000,110.625,110.59375,110.609375,-1,1,2,69773
ZB SEP26,1783991760000,1783991820000,110.625,110.59375,110.609375,-1,1,2,69774
ZB SEP26,1783991820000,1783991880000,110.625,110.59375,110.609375,1,1,2,69775
ZB SEP26,1783992120000,1783992180000,110.625,110.59375,110.609375,-1,1,1,69780
ZB SEP26,1783992240000,1783992300000,110.625,110.59375,110.609375,-1,1,1,69782
