# meta indicator=AACloseOpenDiffs,version=1.0,subseries=minute_1_always,anchor=boundary_prev_m1_close,overlap=point_in_time_at_birth,bar_spec_independent=true,instrument=6E,tick_size=5E-05,min_diff_ticks=1,extend_bars=50
event_seq,event_type,ts,unix_ms,zone_id,start_ms,end_ms,upper,lower,diff_ticks,direction,overlap_at_birth,m1_bar
0,ZONE_CREATED,2026-07-08 19:11:00.000,1783548660000,D000001,1783548660000,1783551660000,1.1448,1.14475,1,1,1,10
1,ZONE_CREATED,2026-07-08 19:13:00.000,1783548780000,D000002,1783548780000,1783551780000,1.1448,1.14475,1,-1,2,12
2,ZONE_CREATED,2026-07-08 19:14:00.000,1783548840000,D000003,1783548840000,1783551840000,1.1448,1.14475,1,1,3,13
3,ZONE_CREATED,2026-07-08 19:38:00.000,1783550280000,D000004,1783550280000,1783553280000,1.1449,1.14485,1,-1,1,36
4,ZONE_CREATED,2026-07-08 19:40:00.000,1783550400000,D000005,1783550400000,1783553400000,1.1449,1.14485,1,1,2,38
5,ZONE_CREATED,2026-07-08 19:41:00.000,1783550460000,D000006,1783550460000,1783553460000,1.1449,1.14485,1,-1,3,39
6,ZONE_CREATED,2026-07-08 19:43:00.000,1783550580000,D000007,1783550580000,1783553580000,1.14495,1.14485,2,-1,4,41
7,ZONE_CREATED,2026-07-08 19:44:00.000,1783550640000,D000008,1783550640000,1783553640000,1.1449,1.14485,1,-1,5,42
8,ZONE_CREATED,2026-07-08 19:50:00.000,1783551000000,D000009,1783551000000,1783554000000,1.1449,1.14485,1,1,6,48
9,ZONE_CREATED,2026-07-08 20:00:00.000,1783551600000,D000010,1783551600000,1783554600000,1.145,1.14495,1,-1,2,58
10,ZONE_CREATED,2026-07-08 20:03:00.000,1783551780000,D000011,1783551780000,1783554780000,1.145,1.14495,1,1,3,61
11,ZONE_CREATED,2026-07-08 20:05:00.000,1783551900000,D000012,1783551900000,1783554900000,1.145,1.14495,1,-1,4,63
12,ZONE_CREATED,2026-07-08 20:06:00.000,1783551960000,D000013,1783551960000,1783554960000,1.145,1.14495,1,-1,5,64
13,ZONE_CREATED,2026-07-08 20:21:00.000,1783552860000,D000014,1783552860000,1783555860000,1.1448,1.14475,1,1,1,79
14,ZONE_CREATED,2026-07-08 20:29:00.000,1783553340000,D000015,1783553340000,1783556340000,1.1449,1.14485,1,1,6,87
15,ZONE_CREATED,2026-07-08 20:30:00.000,1783553400000,D000016,1783553400000,1783556400000,1.1449,1.14485,1,-1,7,88
16,ZONE_CREATED,2026-07-08 20:37:00.000,1783553820000,D000017,1783553820000,1783556820000,1.145,1.14495,1,1,5,95
17,ZONE_CREATED,2026-07-08 20:45:00.000,1783554300000,D000018,1783554300000,1783557300000,1.14515,1.14505,2,-1,1,103
18,ZONE_CREATED,2026-07-08 20:57:00.000,1783555020000,D000019,1783555020000,1783558020000,1.1452,1.14515,1,1,2,115
19,ZONE_CREATED,2026-07-08 20:58:00.000,1783555080000,D000020,1783555080000,1783558080000,1.14525,1.1452,1,-1,2,116
20,ZONE_CREATED,2026-07-08 21:02:00.000,1783555320000,D000021,1783555320000,1783558320000,1.14535,1.1453,1,1,1,120
21,ZONE_CREATED,2026-07-08 21:08:00.000,1783555680000,D000022,1783555680000,1783558680000,1.14565,1.1456,1,-1,1,126
22,ZONE_CREATED,2026-07-08 21:12:00.000,1783555920000,D000023,1783555920000,1783558920000,1.14585,1.1458,1,1,1,130
23,ZONE_CREATED,2026-07-08 21:27:00.000,1783556820000,D000024,1783556820000,1783559820000,1.14575,1.1457,1,-1,1,145
24,ZONE_CREATED,2026-07-08 21:33:00.000,1783557180000,D000025,1783557180000,1783560180000,1.14605,1.146,1,1,1,151
25,ZONE_CREATED,2026-07-08 21:36:00.000,1783557360000,D000026,1783557360000,1783560360000,1.14595,1.1459,1,1,1,154
26,ZONE_CREATED,2026-07-08 21:37:00.000,1783557420000,D000027,1783557420000,1783560420000,1.14605,1.146,1,-1,2,155
27,ZONE_CREATED,2026-07-08 21:38:00.000,1783557480000,D000028,1783557480000,1783560480000,1.14595,1.1459,1,-1,2,156
28,ZONE_CREATED,2026-07-08 21:40:00.000,1783557600000,D000029,1783557600000,1783560600000,1.14595,1.1459,1,-1,3,158
29,ZONE_CREATED,2026-07-08 21:42:00.000,1783557720000,D000030,1783557720000,1783560720000,1.14595,1.1459,1,-1,4,160
30,ZONE_CREATED,2026-07-08 21:48:00.000,1783558080000,D000031,1783558080000,1783561080000,1.14565,1.14555,2,1,2,166
31,ZONE_CREATED,2026-07-08 21:50:00.000,1783558200000,D000032,1783558200000,1783561200000,1.14565,1.1456,1,-1,3,168
32,ZONE_CREATED,2026-07-08 21:53:00.000,1783558380000,D000033,1783558380000,1783561380000,1.14555,1.1455,1,1,2,171
33,ZONE_CREATED,2026-07-08 21:57:00.000,1783558620000,D000034,1783558620000,1783561620000,1.14555,1.1455,1,-1,3,175
34,ZONE_CREATED,2026-07-08 21:59:00.000,1783558740000,D000035,1783558740000,1783561740000,1.14565,1.1456,1,-1,3,177
35,ZONE_CREATED,2026-07-08 22:01:00.000,1783558860000,D000036,1783558860000,1783561860000,1.14565,1.1456,1,1,4,179
36,ZONE_CREATED,2026-07-08 22:03:00.000,1783558980000,D000037,1783558980000,1783561980000,1.14555,1.1455,1,1,4,181
37,ZONE_CREATED,2026-07-08 22:08:00.000,1783559280000,D000038,1783559280000,1783562280000,1.14555,1.1455,1,1,5,186
38,ZONE_CREATED,2026-07-08 22:14:00.000,1783559640000,D000039,1783559640000,1783562640000,1.14535,1.1453,1,1,1,192
39,ZONE_CREATED,2026-07-08 22:16:00.000,1783559760000,D000040,1783559760000,1783562760000,1.14545,1.1454,1,-1,1,194
40,ZONE_CREATED,2026-07-08 22:20:00.000,1783560000000,D000041,1783560000000,1783563000000,1.14545,1.14535,2,1,3,198
41,ZONE_CREATED,2026-07-08 22:24:00.000,1783560240000,D000042,1783560240000,1783563240000,1.14535,1.1453,1,1,3,202
