# meta indicator=TickBarDiag,version=1.0,purpose=TICKBAR-001,digest=fnv_basis_mix1000003_ulong,price=integer_ticks_awayfromzero,vol_int=round(vol*100)
# params instrument=6E,tick_size=5E-05,bars_period=Tick,bars_value=10,skip_bars=20,max_bars=150
kind,seq,ts_ticks,ts_iso,a,b,c,d,e,f,g,h,i,j,k
E,20,639200844019040000,2026-07-19T19:00:01.9040000,22911,100,0,3055006067187859873,,,,,,,
E,21,639200844019040000,2026-07-19T19:00:01.9040000,22911,100,0,15287559004852258506,,,,,,,
E,22,639200844024160000,2026-07-19T19:00:02.4160000,22911,500,0,17006516777668816971,,,,,,,
E,23,639200844024160000,2026-07-19T19:00:02.4160000,22911,100,0,257183984979182020,,,,,,,
E,24,639200844032640000,2026-07-19T19:00:03.2640000,22911,100,0,1871881808478457989,,,,,,,
E,25,639200844032720000,2026-07-19T19:00:03.2720000,22911,200,0,15352210898471310130,,,,,,,
E,26,639200844032720000,2026-07-19T19:00:03.2720000,22910,200,0,9673434548907088004,,,,,,,
E,27,639200844032720000,2026-07-19T19:00:03.2720000,22910,200,0,7666432631592123238,,,,,,,
E,28,639200844032720000,2026-07-19T19:00:03.2720000,22910,100,0,16820525509914001396,,,,,,,
E,29,639200844032720000,2026-07-19T19:00:03.2720000,22910,100,0,2343102227069437426,,,,,,,
E,30,639200844032720000,2026-07-19T19:00:03.2720000,22910,100,0,5830100159015354592,,,,,,,
E,31,639200844032720000,2026-07-19T19:00:03.2720000,22910,100,0,11963311620146118718,,,,,,,
E,32,639200844032720000,2026-07-19T19:00:03.2720000,22910,200,0,10080818660845604848,,,,,,,
E,33,639200844035080000,2026-07-19T19:00:03.5080000,22911,100,0,11566318724000817681,,,,,,,
E,34,639200844090720000,2026-07-19T19:00:09.0720000,22911,100,0,1517673499579798202,,,,,,,
E,35,639200844096640000,2026-07-19T19:00:09.6640000,22911,100,0,11378785627807777323,,,,,,,
E,36,639200844099720000,2026-07-19T19:00:09.9720000,22912,100,0,10741798320855413991,,,,,,,
E,37,639200844101320000,2026-07-19T19:00:10.1320000,22910,200,0,3555818551925089121,,,,,,,
E,38,639200844101440000,2026-07-19T19:00:10.1440000,22911,100,0,12297415162679629450,,,,,,,
