# meta,indicator=aVolClusterPOI,version=0.5,instrument=6E 09-26,tick_size=5E-05,window_bars=10,median_mult=2,max_gap_ticks=1,min_cluster_ticks=2,bucket_minutes=30,percentile=98,lookback_sessions=20,min_samples=20,predictive_filter=0,min_quality=0,reaction_horizon=50,reaction_target_ticks=12,reaction_stop_ticks=8,quality_formula=heuristic_v1_not_probability,session_buckets=1,invalidation=CloseThrough,max_age_bars=0,max_touches=0,one_cluster_per_block=1,kinds=OFF_PRICE|AT_PRICE,export=ZONE_CREATED|AT_PRICE_CREATED|FIRST_TOUCH|ZONE_INVALIDATED,footprint=reconstructed_1tick_subseries,quantile=empirical_no_interp,write_mode=overwrite
event_seq,event_type,bar_index,bar_close_time,session_index,bucket,zone_id,lower_tick,upper_tick,score,threshold,samples,touch_count,reason,direction,anomaly_ratio,cluster_share,density,quality_score,distance_ticks,burst_count,touch_bar,mfe_ticks,mae_ticks,outcome
1,ZONE_CREATED,9732,2026-04-10T06:22:00.000,7,22,1,23564,23572,2540,2063,21,0,OFF_PRICE,SHORT,1.231217,0.330729,0.888889,64.1,5,1,,0,0,
2,FIRST_TOUCH,9733,2026-04-10T06:23:00.000,7,22,1,23564,23572,2540,,0,1,first_touch,SHORT,1.231217,0.330729,0.888889,64.1,5,1,,0,0,
3,ZONE_INVALIDATED,9767,2026-04-10T06:57:00.000,7,22,1,23564,23572,2540,,0,9,close_through_up,SHORT,1.231217,0.330729,0.888889,64.1,5,1,9733,13,7,TARGET
4,ZONE_CREATED,10012,2026-04-10T11:02:00.000,7,32,2,23605,23611,2662,2367,21,0,OFF_PRICE,LONG,1.12463,0.745867,1,60.81,7,1,,0,0,
5,FIRST_TOUCH,10022,2026-04-10T11:12:00.000,7,32,2,23605,23611,2662,,0,1,first_touch,LONG,1.12463,0.745867,1,60.81,7,1,,0,0,
6,ZONE_INVALIDATED,10061,2026-04-10T11:51:00.000,7,32,2,23605,23611,2662,,0,11,close_through_down,LONG,1.12463,0.745867,1,60.81,7,1,10022,12,3,TARGET
7,ZONE_CREATED,10950,2026-04-13T03:43:00.000,8,17,3,23516,23523,1155,1105,23,0,OFF_PRICE,SHORT,1.045249,0.642738,0.875,50.88,5,1,,0,0,
8,FIRST_TOUCH,10960,2026-04-13T03:53:00.000,8,17,3,23516,23523,1155,,0,1,first_touch,SHORT,1.045249,0.642738,0.875,50.88,5,1,,0,0,
9,ZONE_INVALIDATED,10968,2026-04-13T04:01:00.000,8,17,3,23516,23523,1155,,0,7,close_through_up,SHORT,1.045249,0.642738,0.875,50.88,5,1,10960,4,9,STOP
10,ZONE_CREATED,11250,2026-04-13T08:43:00.000,8,27,4,23533,23537,846,658,24,0,OFF_PRICE,LONG,1.285714,0.576294,0.8,62.83,2,1,,0,0,
11,FIRST_TOUCH,11252,2026-04-13T08:45:00.000,8,27,4,23533,23537,846,,0,1,first_touch,LONG,1.285714,0.576294,0.8,62.83,2,1,,0,0,
12,ZONE_INVALIDATED,11258,2026-04-13T08:51:00.000,8,27,4,23533,23537,846,,0,7,close_through_down,LONG,1.285714,0.576294,0.8,62.83,2,1,11252,2,6,
13,AT_PRICE_CREATED,11550,2026-04-13T13:43:00.000,8,37,5,23589,23594,3123,2877,21,0,AT_PRICE,NEUTRAL,1.085506,0.4996,1,49.32,0,1,,0,0,
14,ZONE_CREATED,11660,2026-04-13T15:33:00.000,8,41,6,23624,23627,3477,2052,21,0,OFF_PRICE,LONG,1.694444,0.435878,1,96.67,19,2,,0,0,
15,ZONE_CREATED,12377,2026-04-14T05:03:00.000,9,20,7,23712,23717,1812,1528,27,0,OFF_PRICE,SHORT,1.185864,0.796484,1,57.59,1,1,,0,0,
16,FIRST_TOUCH,12378,2026-04-14T05:04:00.000,9,20,7,23712,23717,1812,,0,1,first_touch,SHORT,1.185864,0.796484,1,57.59,1,1,,0,0,
17,ZONE_INVALIDATED,12419,2026-04-14T05:45:00.000,9,20,7,23712,23717,1812,,0,19,close_through_up,SHORT,1.185864,0.796484,1,57.59,1,1,12378,9,9,STOP
18,ZONE_CREATED,12587,2026-04-14T08:33:00.000,9,27,8,23752,23756,877,846,27,0,OFF_PRICE,SHORT,1.036643,0.861493,1,53.4,6,1,,0,0,
19,FIRST_TOUCH,12595,2026-04-14T08:41:00.000,9,27,8,23752,23756,877,,0,1,first_touch,SHORT,1.036643,0.861493,1,53.4,6,1,,0,0,
20,ZONE_INVALIDATED,12613,2026-04-14T08:59:00.000,9,27,8,23752,23756,877,,0,16,close_through_up,SHORT,1.036643,0.861493,1,53.4,6,1,12595,8,8,STOP
21,AT_PRICE_CREATED,13423,2026-04-14T23:41:00.000,10,9,9,23712,23714,352,348,30,0,AT_PRICE,NEUTRAL,1.011494,0.56051,0.666667,39.14,0,1,,0,0,
22,AT_PRICE_CREATED,14203,2026-04-15T12:48:00.000,10,35,10,23753,23754,2675,2145,27,0,AT_PRICE,NEUTRAL,1.247086,0.794004,1,60.63,0,1,,0,0,
23,ZONE_CREATED,14791,2026-04-16T00:04:00.000,11,10,11,23782,23787,602,294,28,0,OFF_PRICE,LONG,2.047619,0.652928,0.833333,77.08,1,1,,0,0,
24,FIRST_TOUCH,14792,2026-04-16T00:05:00.000,11,10,11,23782,23787,602,,0,1,first_touch,LONG,2.047619,0.652928,0.833333,77.08,1,1,,0,0,
25,ZONE_INVALIDATED,14809,2026-04-16T00:22:00.000,11,10,11,23782,23787,602,,0,13,close_through_down,LONG,2.047619,0.652928,0.833333,77.08,1,1,14792,10,6,
26,ZONE_CREATED,16752,2026-04-17T10:02:00.000,12,30,12,23802,23805,3509,1623,36,0,OFF_PRICE,LONG,2.162046,0.377962,1,93.33,12,1,,0,0,
27,ZONE_CREATED,16762,2026-04-17T10:12:00.000,12,30,13,23842,23844,2121,1623,36,0,OFF_PRICE,LONG,1.306839,0.243346,1,71.9,3,2,,0,0,
28,FIRST_TOUCH,16763,2026-04-17T10:13:00.000,12,30,13,23842,23844,2121,,0,1,first_touch,LONG,1.306839,0.243346,1,71.9,3,2,,0,0,
29,ZONE_INVALIDATED,16764,2026-04-17T10:14:00.000,12,30,13,23842,23844,2121,,0,2,close_through_down,LONG,1.306839,0.243346,1,71.9,3,2,16763,3,9,STOP
30,FIRST_TOUCH,16797,2026-04-17T10:47:00.000,12,30,12,23802,23805,3509,,0,1,first_touch,LONG,2.162046,0.377962,1,93.33,12,1,,0,0,
31,ZONE_INVALIDATED,16798,2026-04-17T10:48:00.000,12,30,12,23802,23805,3509,,0,2,close_through_down,LONG,2.162046,0.377962,1,93.33,12,1,16797,14,9,AMBIGUOUS
32,ZONE_CREATED,16802,2026-04-17T10:52:00.000,12,31,14,23803,23807,3670,2196,36,0,OFF_PRICE,LONG,1.67122,0.347242,1,87.5,2,3,,0,0,
33,AT_PRICE_CREATED,16812,2026-04-17T11:02:00.000,12,32,15,23812,23816,4428,2662,36,0,AT_PRICE,NEUTRAL,1.663411,0.724121,1,85,0,4,,0,0,
34,FIRST_TOUCH,16818,2026-04-17T11:08:00.000,12,31,14,23803,23807,3670,,0,1,first_touch,LONG,1.67122,0.347242,1,87.5,2,3,,0,0,
