# meta,indicator=aVolClusterPOI,version=0.5,instrument=ES 06-26,tick_size=0.25,window_bars=10,median_mult=2,max_gap_ticks=1,min_cluster_ticks=2,bucket_minutes=30,percentile=98,lookback_sessions=20,min_samples=20,predictive_filter=0,min_quality=0,reaction_horizon=50,reaction_target_ticks=12,reaction_stop_ticks=8,quality_formula=heuristic_v1_not_probability,session_buckets=1,invalidation=CloseThrough,max_age_bars=0,max_touches=0,one_cluster_per_block=1,kinds=OFF_PRICE|AT_PRICE,export=ZONE_CREATED|AT_PRICE_CREATED|FIRST_TOUCH|ZONE_INVALIDATED,footprint=reconstructed_1tick_subseries,quantile=empirical_no_interp,write_mode=overwrite
event_seq,event_type,bar_index,bar_close_time,session_index,bucket,zone_id,lower_tick,upper_tick,score,threshold,samples,touch_count,reason,direction,anomaly_ratio,cluster_share,density,quality_score,distance_ticks,burst_count,touch_bar,mfe_ticks,mae_ticks,outcome
1,AT_PRICE_CREATED,10583,2026-04-12T19:10:00.000,8,0,1,27120,27150,15138,7858,24,0,AT_PRICE,NEUTRAL,1.926444,0.830344,1,78.33,0,1,,0,0,
2,ZONE_CREATED,10693,2026-04-12T21:00:00.000,8,3,2,27122,27136,2612,1782,24,0,OFF_PRICE,LONG,1.465769,0.691005,0.866667,78.52,1,2,,0,0,
3,FIRST_TOUCH,10694,2026-04-12T21:01:00.000,8,3,2,27122,27136,2612,,0,1,first_touch,LONG,1.465769,0.691005,0.866667,78.52,1,2,,0,0,
4,ZONE_INVALIDATED,10694,2026-04-12T21:01:00.000,8,3,2,27122,27136,2612,,0,1,close_through_down,LONG,1.465769,0.691005,0.866667,78.52,1,2,10694,4,19,STOP
5,ZONE_CREATED,11403,2026-04-13T08:50:00.000,8,27,3,27236,27246,3223,2673,24,0,OFF_PRICE,SHORT,1.205761,0.575844,0.727273,56.15,2,1,,0,0,
6,FIRST_TOUCH,11416,2026-04-13T09:03:00.000,8,27,3,27236,27246,3223,,0,1,first_touch,SHORT,1.205761,0.575844,0.727273,56.15,2,1,,0,0,
7,ZONE_INVALIDATED,11425,2026-04-13T09:12:00.000,8,27,3,27236,27246,3223,,0,5,close_through_up,SHORT,1.205761,0.575844,0.727273,56.15,2,1,11416,26,7,TARGET
8,AT_PRICE_CREATED,11893,2026-04-13T17:00:00.000,8,43,4,27685,27697,93993,47286,21,0,AT_PRICE,NEUTRAL,1.987755,0.629689,1,78.33,0,1,,0,0,
9,AT_PRICE_CREATED,14093,2026-04-15T07:52:00.000,10,25,5,27998,28010,4404,3361,30,0,AT_PRICE,NEUTRAL,1.310324,0.801894,1,65.06,0,1,,0,0,
10,AT_PRICE_CREATED,14153,2026-04-15T08:52:00.000,10,27,6,28020,28034,4277,3223,30,0,AT_PRICE,NEUTRAL,1.327025,0.495425,0.933333,68.56,0,2,,0,0,
11,AT_PRICE_CREATED,14931,2026-04-15T22:50:00.000,11,7,7,28300,28306,1514,1265,33,0,AT_PRICE,NEUTRAL,1.196838,0.811361,1,57.11,0,1,,0,0,
12,ZONE_CREATED,16981,2026-04-17T10:00:00.000,12,29,8,28520,28528,11032,9301,36,0,OFF_PRICE,LONG,1.186109,0.393144,0.888889,69.69,16,1,,0,0,
