# meta,indicator=aVolClusterPOI,version=0.5,instrument=NQ JUN26,tick_size=0.25,window_bars=10,median_mult=2,max_gap_ticks=1,min_cluster_ticks=2,bucket_minutes=30,percentile=98,lookback_sessions=20,min_samples=20,predictive_filter=0,min_quality=0,reaction_horizon=50,reaction_target_ticks=12,reaction_stop_ticks=8,quality_formula=heuristic_v1_not_probability,session_buckets=1,invalidation=CloseThrough,max_age_bars=0,max_touches=0,one_cluster_per_block=1,kinds=OFF_PRICE|AT_PRICE,export=ZONE_CREATED|AT_PRICE_CREATED|FIRST_TOUCH|ZONE_INVALIDATED,footprint=reconstructed_1tick_subseries,quantile=empirical_no_interp,write_mode=overwrite
event_seq,event_type,bar_index,bar_close_time,session_index,bucket,zone_id,lower_tick,upper_tick,score,threshold,samples,touch_count,reason,direction,anomaly_ratio,cluster_share,density,quality_score,distance_ticks,burst_count,touch_bar,mfe_ticks,mae_ticks,outcome
1,ZONE_CREATED,9834,2026-04-08T10:34:05.932,3,31,1,100596,100623,858,731,81,0,OFF_PRICE,LONG,1.173735,0.614173,0.892857,68.89,60,1,,0,0,
2,FIRST_TOUCH,9839,2026-04-08T10:34:22.004,3,31,1,100596,100623,858,,0,1,first_touch,LONG,1.173735,0.614173,0.892857,68.89,60,1,,0,0,
3,ZONE_INVALIDATED,9860,2026-04-08T10:35:41.828,3,31,1,100596,100623,858,,0,9,close_through_down,LONG,1.173735,0.614173,0.892857,68.89,60,1,9839,25,2,TARGET
4,ZONE_CREATED,10404,2026-04-08T11:12:34.364,3,32,2,100317,100338,785,698,72,0,OFF_PRICE,SHORT,1.124642,0.605243,1,53.31,1,1,,0,0,
5,FIRST_TOUCH,10405,2026-04-08T11:12:42.976,3,32,2,100317,100338,785,,0,1,first_touch,SHORT,1.124642,0.605243,1,53.31,1,1,,0,0,
6,ZONE_INVALIDATED,10411,2026-04-08T11:13:32.608,3,32,2,100317,100338,785,,0,7,close_through_up,SHORT,1.124642,0.605243,1,53.31,1,1,10405,12,10,AMBIGUOUS
7,AT_PRICE_CREATED,10624,2026-04-08T11:36:07.736,3,33,3,100138,100168,928,792,50,0,AT_PRICE,NEUTRAL,1.171717,0.714946,0.967742,54.87,0,1,,0,0,
8,ZONE_CREATED,10814,2026-04-08T11:55:12.808,3,33,4,100020,100046,875,792,50,0,OFF_PRICE,SHORT,1.104798,0.676721,0.962963,65.11,47,1,,0,0,
9,FIRST_TOUCH,10914,2026-04-08T12:00:29.252,3,33,4,100020,100046,875,,0,1,first_touch,SHORT,1.104798,0.676721,0.962963,65.11,47,1,,0,0,
10,ZONE_INVALIDATED,10921,2026-04-08T12:01:09.788,3,33,4,100020,100046,875,,0,6,close_through_up,SHORT,1.104798,0.676721,0.962963,65.11,47,1,10914,18,5,TARGET
