# meta,indicator=aVolClusterPOI,version=0.5,instrument=NQ JUN26,tick_size=0.25,window_bars=10,median_mult=2,max_gap_ticks=1,min_cluster_ticks=2,bucket_minutes=30,percentile=98,lookback_sessions=20,min_samples=20,predictive_filter=0,min_quality=0,reaction_horizon=50,reaction_target_ticks=12,reaction_stop_ticks=8,quality_formula=heuristic_v1_not_probability,session_buckets=1,invalidation=CloseThrough,max_age_bars=0,max_touches=0,one_cluster_per_block=1,kinds=OFF_PRICE|AT_PRICE,export=ZONE_CREATED|AT_PRICE_CREATED|FIRST_TOUCH|ZONE_INVALIDATED,footprint=reconstructed_1tick_subseries,quantile=empirical_no_interp,write_mode=overwrite
event_seq,event_type,bar_index,bar_close_time,session_index,bucket,zone_id,lower_tick,upper_tick,score,threshold,samples,touch_count,reason,direction,anomaly_ratio,cluster_share,density,quality_score,distance_ticks,burst_count,touch_bar,mfe_ticks,mae_ticks,outcome
1,ZONE_CREATED,6079,2026-04-02T11:11:47.700,1,32,1,95829,95850,1070,999,30,0,OFF_PRICE,LONG,1.071071,0.716198,0.954545,50.13,2,1,,0,0,
2,FIRST_TOUCH,6080,2026-04-02T11:11:53.976,1,32,1,95829,95850,1070,,0,1,first_touch,LONG,1.071071,0.716198,0.954545,50.13,2,1,,0,0,
3,ZONE_INVALIDATED,6080,2026-04-02T11:11:53.976,1,32,1,95829,95850,1070,,0,1,close_through_down,LONG,1.071071,0.716198,0.954545,50.13,2,1,6080,2,35,STOP
4,AT_PRICE_CREATED,6209,2026-04-02T11:23:50.956,1,32,2,95931,95959,1069,999,30,0,AT_PRICE,NEUTRAL,1.07007,0.780862,0.931034,47.2,0,1,,0,0,
5,ZONE_CREATED,6719,2026-04-02T11:48:16.876,1,33,3,96638,96656,957,933,32,0,OFF_PRICE,SHORT,1.025723,0.583181,0.947368,53.09,7,1,,0,0,
6,FIRST_TOUCH,6720,2026-04-02T11:48:19.680,1,33,3,96638,96656,957,,0,1,first_touch,SHORT,1.025723,0.583181,0.947368,53.09,7,1,,0,0,
7,ZONE_INVALIDATED,6812,2026-04-02T11:55:31.144,1,33,3,96638,96656,957,,0,4,close_through_up,SHORT,1.025723,0.583181,0.947368,53.09,7,1,6720,54,0,TARGET
8,AT_PRICE_CREATED,6849,2026-04-02T11:58:50.424,1,33,4,96752,96780,1052,933,32,0,AT_PRICE,NEUTRAL,1.127546,0.715646,0.896552,50.71,0,1,,0,0,
9,ZONE_CREATED,7989,2026-04-02T15:04:53.524,1,40,5,96421,96449,936,744,30,0,OFF_PRICE,LONG,1.258065,0.724458,0.931034,75.36,36,1,,0,0,
10,FIRST_TOUCH,8066,2026-04-02T15:25:05.000,1,40,5,96421,96449,936,,0,1,first_touch,LONG,1.258065,0.724458,0.931034,75.36,36,1,,0,0,
11,ZONE_INVALIDATED,8068,2026-04-02T15:25:23.736,1,40,5,96421,96449,936,,0,3,close_through_down,LONG,1.258065,0.724458,0.931034,75.36,36,1,8066,15,9,AMBIGUOUS
12,AT_PRICE_CREATED,9257,2026-04-05T22:13:07.268,3,6,6,96866,96891,899,585,20,0,AT_PRICE,NEUTRAL,1.536752,0.68417,0.884615,76.6,0,1,,0,0,
13,ZONE_CREATED,11377,2026-04-06T13:39:02.164,3,37,7,97346,97362,805,655,26,0,OFF_PRICE,SHORT,1.229008,0.572954,0.941176,73.48,15,1,,0,0,
14,FIRST_TOUCH,11389,2026-04-06T13:42:21.280,3,37,7,97346,97362,805,,0,1,first_touch,SHORT,1.229008,0.572954,0.941176,73.48,15,1,,0,0,
15,ZONE_INVALIDATED,11399,2026-04-06T13:47:06.516,3,37,7,97346,97362,805,,0,7,close_through_up,SHORT,1.229008,0.572954,0.941176,73.48,15,1,11389,16,1,TARGET
16,ZONE_CREATED,11937,2026-04-06T15:39:03.840,3,41,8,97347,97362,693,611,31,0,OFF_PRICE,LONG,1.134206,0.558871,0.875,55.85,4,1,,0,0,
17,FIRST_TOUCH,11938,2026-04-06T15:39:27.112,3,41,8,97347,97362,693,,0,1,first_touch,LONG,1.134206,0.558871,0.875,55.85,4,1,,0,0,
18,ZONE_INVALIDATED,11939,2026-04-06T15:39:47.452,3,41,8,97347,97362,693,,0,2,close_through_down,LONG,1.134206,0.558871,0.875,55.85,4,1,11938,8,26,STOP
19,ZONE_CREATED,11977,2026-04-06T15:54:42.172,3,41,9,97371,97389,988,611,31,0,OFF_PRICE,LONG,1.617021,0.774902,0.947368,95.88,24,2,,0,0,
20,FIRST_TOUCH,11981,2026-04-06T15:56:05.180,3,41,9,97371,97389,988,,0,1,first_touch,LONG,1.617021,0.774902,0.947368,95.88,24,2,,0,0,
21,ZONE_INVALIDATED,12001,2026-04-06T16:03:43.840,3,41,9,97371,97389,988,,0,9,close_through_down,LONG,1.617021,0.774902,0.947368,95.88,24,2,11981,19,7,TARGET
22,AT_PRICE_CREATED,13207,2026-04-07T09:37:47.588,4,29,10,96848,96891,884,411,28,0,AT_PRICE,NEUTRAL,2.150852,0.707766,0.977273,77.99,0,1,,0,0,
23,ZONE_CREATED,14487,2026-04-07T12:10:31.692,4,34,11,95904,95929,950,903,63,0,OFF_PRICE,LONG,1.052049,0.739875,0.923077,60.82,12,1,,0,0,
24,ZONE_CREATED,15087,2026-04-07T13:28:37.192,4,36,12,96808,96829,777,757,42,0,OFF_PRICE,SHORT,1.02642,0.60373,1,60.18,32,1,,0,0,
25,FIRST_TOUCH,15104,2026-04-07T13:31:58.720,4,36,12,96808,96829,777,,0,1,first_touch,SHORT,1.02642,0.60373,1,60.18,32,1,,0,0,
26,ZONE_INVALIDATED,15117,2026-04-07T13:35:50.132,4,36,12,96808,96829,777,,0,11,close_through_up,SHORT,1.02642,0.60373,1,60.18,32,1,15104,23,9,AMBIGUOUS
27,AT_PRICE_CREATED,15657,2026-04-07T15:28:29.064,4,40,13,96791,96809,816,744,59,0,AT_PRICE,NEUTRAL,1.096774,0.647105,1,50.11,0,1,,0,0,
28,ZONE_CREATED,16457,2026-04-07T16:59:39.528,4,43,14,97432,97445,975,940,72,0,OFF_PRICE,LONG,1.037234,0.708061,1,53.44,6,1,,0,0,
29,FIRST_TOUCH,16458,2026-04-07T16:59:40.432,4,43,14,97432,97445,975,,0,1,first_touch,LONG,1.037234,0.708061,1,53.44,6,1,,0,0,
30,ZONE_INVALIDATED,16501,2026-04-07T17:00:05.108,4,43,14,97432,97445,975,,0,3,close_through_down,LONG,1.037234,0.708061,1,53.44,6,1,16458,12,7,TARGET
31,ZONE_CREATED,16527,2026-04-07T17:01:30.096,4,44,15,97444,97462,939,740,24,0,OFF_PRICE,LONG,1.268919,0.627674,0.894737,78.91,21,2,,0,0,
32,FIRST_TOUCH,16564,2026-04-07T17:06:10.696,4,44,15,97444,97462,939,,0,1,first_touch,LONG,1.268919,0.627674,0.894737,78.91,21,2,,0,0,
33,ZONE_INVALIDATED,16618,2026-04-07T17:23:57.864,4,44,15,97444,97462,939,,0,10,close_through_down,LONG,1.268919,0.627674,0.894737,78.91,21,2,16564,29,5,TARGET
34,ZONE_CREATED,18028,2026-04-08T09:01:06.220,5,28,16,100835,100854,839,790,27,0,OFF_PRICE,LONG,1.062025,0.638508,1,62.68,35,1,,0,0,
35,AT_PRICE_CREATED,18058,2026-04-08T09:11:07.708,5,28,17,100917,100950,826,790,27,0,AT_PRICE,NEUTRAL,1.04557,0.646829,0.941176,45.64,0,1,,0,0,
