# meta,indicator=aVolClusterPOI,version=0.5,instrument=6E 09-26,tick_size=5E-05,window_bars=10,median_mult=2,max_gap_ticks=1,min_cluster_ticks=2,bucket_minutes=30,percentile=98,lookback_sessions=20,min_samples=20,predictive_filter=0,min_quality=0,reaction_horizon=50,reaction_target_ticks=12,reaction_stop_ticks=8,quality_formula=heuristic_v1_not_probability,session_buckets=1,invalidation=CloseThrough,max_age_bars=0,max_touches=0,one_cluster_per_block=1,kinds=OFF_PRICE|AT_PRICE,export=ZONE_CREATED|AT_PRICE_CREATED|FIRST_TOUCH|ZONE_INVALIDATED,footprint=reconstructed_1tick_subseries,quantile=empirical_no_interp,write_mode=overwrite
event_seq,event_type,bar_index,bar_close_time,session_index,bucket,zone_id,lower_tick,upper_tick,score,threshold,samples,touch_count,reason,direction,anomaly_ratio,cluster_share,density,quality_score,distance_ticks,burst_count,touch_bar,mfe_ticks,mae_ticks,outcome
1,ZONE_CREATED,9268,2026-06-17T04:34:00.000,7,19,1,23295,23299,806,666,21,0,OFF_PRICE,SHORT,1.21021,0.525766,0.6,57.05,4,1,,0,0,
2,FIRST_TOUCH,9274,2026-06-17T04:40:00.000,7,19,1,23295,23299,806,,0,1,first_touch,SHORT,1.21021,0.525766,0.6,57.05,4,1,,0,0,
3,ZONE_CREATED,9748,2026-06-17T12:35:00.000,7,35,2,23263,23264,1547,859,21,0,OFF_PRICE,LONG,1.800931,0.707362,1,82.08,3,1,,0,0,
4,FIRST_TOUCH,9751,2026-06-17T12:38:00.000,7,35,2,23263,23264,1547,,0,1,first_touch,LONG,1.800931,0.707362,1,82.08,3,1,,0,0,
5,ZONE_INVALIDATED,9754,2026-06-17T12:41:00.000,7,35,2,23263,23264,1547,,0,3,close_through_down,LONG,1.800931,0.707362,1,82.08,3,1,9751,2,5,
6,ZONE_CREATED,9898,2026-06-17T15:06:00.000,7,40,3,23199,23211,3889,750,20,0,OFF_PRICE,SHORT,5.185333,0.272912,0.923077,92.18,20,1,,0,0,
7,ZONE_CREATED,9908,2026-06-17T15:16:00.000,7,40,4,23169,23174,3548,750,20,0,OFF_PRICE,LONG,4.730667,0.449854,1,82.92,1,2,,0,0,
8,FIRST_TOUCH,9909,2026-06-17T15:17:00.000,7,40,4,23169,23174,3548,,0,1,first_touch,LONG,4.730667,0.449854,1,82.92,1,2,,0,0,
9,ZONE_CREATED,9918,2026-06-17T15:26:00.000,7,40,5,23184,23185,1107,750,20,0,OFF_PRICE,SHORT,1.476,0.172484,1,89.88,8,3,,0,0,
10,FIRST_TOUCH,9924,2026-06-17T15:32:00.000,7,40,5,23184,23185,1107,,0,1,first_touch,SHORT,1.476,0.172484,1,89.88,8,3,,0,0,
11,ZONE_INVALIDATED,9924,2026-06-17T15:32:00.000,7,40,5,23184,23185,1107,,0,1,close_through_up,SHORT,1.476,0.172484,1,89.88,8,3,9924,12,9,AMBIGUOUS
12,FIRST_TOUCH,9925,2026-06-17T15:33:00.000,7,40,3,23199,23211,3889,,0,1,first_touch,SHORT,5.185333,0.272912,0.923077,92.18,20,1,,0,0,
13,ZONE_INVALIDATED,9926,2026-06-17T15:34:00.000,7,40,4,23169,23174,3548,,0,9,close_through_down,LONG,4.730667,0.449854,1,82.92,1,2,9909,12,5,TARGET
