# meta,indicator=AVolZoneSimple,version=1.0,instrument=NQ JUN26,tick_size=0.25,bars_per_block=10,area_share_pct=30,max_zone_ticks=12,min_concentration=1500,stateless=true,history=none,write_mode=overwrite
block_seq,bar_index,bar_close_time_utc,session_index,decision,lower_tick,upper_tick,zone_ticks,zone_volume,block_volume,block_ticks,concentration,side,distance_ticks,close_tick,cells
1,9,2026-05-06T22:02:54.732,0,ABSTAIN_TOO_WIDE,,,0,0,1432,209,0,,0,114807,114600:9|114601:1|114603:1|114604:3|114605:1|114606:2|114607:2|114608:3|114609:7|114611:7|114612:6|114613:7|114614:5|114615:9|114616:13|114617:3|114618:11|114619:9|114620:4|114621:5|114622:5|114623:10|114624:1|114625:4|114626:8|114627:8|114628:8|114629:2|114630:4|114631:4|114632:3|114633:4|114634:9|114635:7|114636:5|114637:9|114638:2|114639:2|114640:9|114641:4|114642:3|114643:3|114645:2|114646:4|114647:8|114648:3|114649:5|114650:4|114651:36|114652:5|114653:5|114654:9|114655:5|114656:5|114657:4|114658:4|114659:5|114660:13|114661:11|114662:3|114663:6|114664:11|114666:4|114667:1|114668:5|114669:3|114670:7|114671:12|114672:17|114673:15|114674:15|114675:9|114676:5|114677:13|114678:14|114679:23|114680:26|114681:11|114682:25|114683:32|114684:9|114685:18|114686:22|114687:13|114688:8|114689:15|114690:13|114691:11|114692:10|114693:24|114694:13|114695:7|114696:13|114697:5|114698:10|114699:4|114700:5|114701:11|114702:4|114703:11|114704:24|114705:6|114706:11|114707:6|114708:8|114709:4|114710:17|114711:3|114712:7|114714:14|114715:5|114716:6|114717:6|114718:12|114719:8|114720:23|114721:5|114722:3|114723:1|114724:8|114725:3|114726:6|114727:1|114728:4|114729:3|114730:3|114731:4|114732:2|114733:3|114734:6|114735:13|114736:4|114737:6|114738:5|114739:1|114740:8|114741:10|114742:6|114743:10|114744:4|114746:5|114747:1|114748:6|114750:1|114751:1|114752:4|114754:1|114755:2|114756:5|114757:4|114758:1|114759:2|114760:3|114761:1|114762:29|114763:6|114764:84|114765:5|114766:3|114767:1|114768:15|114769:5|114770:8|114771:5|114772:9|114773:1|114774:19|114775:2|114776:3|114777:2|114778:10|114779:3|114780:3|114781:5|114782:6|114783:3|114784:6|114785:17|114786:3|114787:2|114788:1|114792:2|114794:2|114796:1|114797:1|114798:2|114799:3|114800:4|114802:1|114805:4|114806:1|114807:3|114808:3
2,19,2026-05-06T22:14:06.604,0,ABSTAIN_TOO_WIDE,,,0,0,1401,128,0,,0,114725,114680:9|114681:1|114682:3|114683:11|114684:2|114685:5|114686:10|114687:8|114688:16|114689:12|114690:16|114691:12|114692:19|114693:11|114694:14|114695:37|114696:26|114697:27|114698:13|114699:14|114700:51|114701:15|114702:13|114703:23|114704:20|114705:8|114706:21|114707:22|114708:32|114709:27|114710:38|114711:17|114712:21|114713:18|114714:35|114715:18|114716:25|114717:22|114718:24|114719:24|114720:40|114721:20|114722:24|114723:14|114724:12|114725:14|114726:13|114727:7|114728:16|114729:9|114730:12|114731:7|114732:11|114733:6|114734:9|114735:11|114736:11|114737:5|114738:9|114739:13|114740:14|114741:19|114742:12|114743:18|114744:7|114745:11|114746:16|114747:24|114748:13|114749:12|114750:13|114751:25|114752:22|114753:15|114754:25|114755:10|114756:16|114757:5|114758:13|114759:3|114760:6|114761:6|114762:3|114763:3|114764:2|114766:4|114767:1|114768:1|114769:1|114772:8|114774:2|114775:3|114779:1|114792:2|114794:1|114795:3|114806:1|114807:57
3,29,2026-05-06T22:25:34.556,0,ABSTAIN_TOO_WIDE,,,0,0,1267,124,0,,0,114679,114650:1|114651:3|114652:2|114653:3|114654:7|114655:10|114656:8|114657:12|114658:4|114659:3|114660:14|114661:8|114663:3|114664:15|114665:15|114666:4|114667:7|114668:17|114669:19|114670:7|114671:7|114672:5|114673:19|114674:15|114675:7|114676:7|114677:5|114678:13|114679:9|114680:32|114681:29|114682:20|114683:32|114684:26|114685:34|114686:15|114687:17|114688:31|114689:23|114690:21|114691:26|114692:21|114693:23|114694:16|114695:7|114696:7|114697:7|114698:9|114699:2|114700:7|114701:9|114702:5|114703:5|114704:10|114705:16|114706:11|114707:8|114708:8|114709:4|114710:3|114711:7|114712:4|114713:7|114714:5|114715:6|114716:5|114717:4|114718:9|114719:3|114720:21|114721:6|114722:2|114723:7|114724:5|114725:22|114726:13|114727:5|114728:5|114729:10|114730:8|114731:19|114732:6|114733:7|114734:8|114735:8|114736:5|114737:6|114738:4|114739:5|114740:14|114741:7|114742:2|114743:7|114744:1|114745:7|114746:10|114747:3|114748:12|114749:15|114750:26|114751:19|114752:26|114753:29|114754:14|114755:13|114756:24|114757:14|114758:15|114759:3|114760:5|114761:1|114762:2|114763:5|114764:3|114765:5|114766:2|114767:3|114768:5|114769:9|114770:5|114772:2|114773:4
4,39,2026-05-06T22:38:59.800,0,ABSTAIN_TOO_WIDE,,,0,0,1243,84,0,,0,114680,114609:5|114610:2|114611:7|114612:9|114613:6|114614:11|114615:8|114616:32|114617:14|114618:7|114619:11|114620:15|114621:19|114622:11|114623:6|114624:11|114625:19|114626:14|114627:11|114628:14|114629:9|114630:15|114631:15|114632:13|114633:16|114634:15|114635:15|114636:16|114637:27|114638:18|114639:17|114640:36|114641:14|114642:19|114643:13|114644:14|114645:4|114646:9|114647:18|114648:13|114649:10|114650:22|114651:29|114652:33|114653:23|114654:13|114655:15|114656:21|114657:24|114658:19|114659:18|114660:16|114661:41|114662:23|114663:21|114664:23|114665:16|114666:19|114667:27|114668:19|114669:21|114670:22|114671:17|114672:23|114673:13|114674:11|114675:10|114676:17|114677:19|114678:9|114679:23|114680:27|114681:11|114682:9|114683:1|114684:8|114685:3|114686:2|114687:3|114688:3|114689:1|114691:8|114692:2
5,49,2026-05-06T22:57:50.460,0,ABSTAIN_TOO_WIDE,,,0,0,1429,82,0,,0,114688,114645:1|114646:1|114647:3|114649:2|114650:5|114651:1|114652:1|114653:4|114654:6|114655:11|114656:9|114657:7|114658:9|114659:12|114660:5|114661:5|114662:6|114663:12|114664:10|114665:7|114666:15|114667:5|114668:8|114669:12|114670:2|114671:17|114672:8|114673:22|114674:23|114675:16|114676:39|114677:15|114678:30|114679:36|114680:30|114681:28|114682:52|114683:45|114684:41|114685:37|114686:30|114687:32|114688:30|114689:11|114690:16|114691:16|114692:16|114693:9|114694:13|114695:11|114696:23|114697:44|114698:32|114699:25|114700:36|114701:23|114702:21|114703:20|114704:22|114705:38|114706:26|114707:29|114708:19|114709:22|114710:12|114711:21|114712:26|114713:25|114714:21|114715:15|114716:11|114717:24|114718:18|114719:14|114720:21|114721:22|114722:11|114723:6|114724:6|114725:6|114726:8
6,59,2026-05-06T23:15:37.700,0,ABSTAIN_TOO_WIDE,,,0,0,1282,101,0,,0,114735,114678:2|114679:3|114680:13|114681:9|114682:6|114683:8|114684:8|114685:13|114686:9|114687:5|114688:22|114689:20|114690:11|114691:8|114692:12|114693:7|114694:5|114695:8|114696:12|114697:15|114698:10|114699:12|114700:28|114701:16|114702:17|114703:19|114704:14|114705:23|114706:22|114707:25|114708:22|114709:20|114710:10|114711:11|114712:6|114713:11|114714:10|114715:3|114716:3|114717:10|114718:1|114719:3|114720:7|114721:5|114722:2|114723:5|114724:7|114725:12|114726:19|114727:17|114728:40|114729:41|114730:29|114731:30|114732:39|114733:27|114734:19|114735:19|114736:16|114737:13|114738:4|114739:3|114740:10|114741:5|114742:3|114743:6|114744:6|114745:9|114746:4|114747:4|114748:8|114749:5|114750:12|114751:32|114752:19|114753:10|114754:26|114755:30|114756:33|114757:32|114758:28|114759:17|114760:22|114761:7|114762:9|114763:5|114764:8|114765:14|114766:7|114767:8|114768:9|114769:7|114770:8|114771:2|114772:3|114773:8|114774:7|114775:1|114776:9|114777:2|114778:1
7,69,2026-05-06T23:33:10.104,0,ABSTAIN_TOO_WIDE,,,0,0,1230,117,0,,0,114730,114652:1|114653:2|114654:1|114655:2|114656:3|114658:2|114659:2|114660:1|114661:3|114662:2|114663:2|114664:2|114665:2|114666:3|114667:2|114668:1|114669:1|114670:2|114671:3|114672:4|114673:3|114674:4|114675:4|114676:2|114677:2|114678:1|114679:2|114680:14|114681:4|114682:3|114683:6|114684:3|114685:4|114686:8|114687:7|114688:10|114689:12|114690:9|114691:9|114692:14|114693:14|114694:20|114695:22|114696:15|114697:22|114698:8|114699:18|114700:18|114701:22|114702:23|114703:35|114704:24|114705:14|114706:14|114707:4|114708:11|114709:6|114710:15|114711:20|114712:24|114713:18|114714:21|114715:25|114716:20|114717:17|114718:14|114719:20|114720:22|114721:32|114722:29|114723:22|114724:16|114725:11|114726:21|114727:10|114728:19|114729:4|114730:7|114731:10|114732:8|114733:12|114734:9|114735:7|114736:5|114737:3|114738:2|114739:3|114740:10|114741:3|114742:9|114743:7|114744:15|114745:6|114746:13|114747:15|114748:24|114749:12|114750:9|114751:9|114752:13|114753:15|114754:19|114755:10|114756:10|114757:23|114758:21|114759:14|114760:15|114761:12|114762:21|114763:19|114764:3|114765:1|114766:1|114767:2|114768:1
8,79,2026-05-06T23:49:19.828,0,ABSTAIN_TOO_WIDE,,,0,0,1268,129,0,,0,114650,114617:1|114618:2|114619:2|114620:5|114621:2|114622:4|114624:5|114625:7|114626:3|114627:3|114628:4|114629:5|114630:5|114631:8|114632:5|114634:9|114635:12|114636:10|114637:12|114638:30|114639:8|114640:9|114641:3|114642:6|114643:4|114644:9|114645:5|114646:20|114647:12|114648:12|114649:15|114650:12|114651:18|114652:19|114653:11|114654:14|114655:11|114656:12|114657:4|114658:4|114659:11|114660:3|114661:10|114662:2|114663:4|114664:4|114665:2|114666:2|114667:3|114668:5|114669:6|114670:8|114671:6|114672:9|114673:7|114674:9|114675:6|114676:4|114677:3|114678:3|114679:2|114680:6|114681:4|114682:2|114683:3|114684:3|114685:5|114686:10|114687:2|114688:3|114690:5|114691:10|114692:15|114693:3|114694:8|114695:10|114696:17|114697:10|114698:18|114699:13|114700:7|114701:10|114702:25|114703:20|114704:27|114705:16|114706:20|114707:22|114708:13|114709:13|114710:14|114711:20|114712:28|114713:18|114714:27|114715:24|114716:14|114717:12|114718:17|114719:27|114720:11|114721:21|114722:21|114723:20|114724:10|114725:11|114726:4|114727:4|114728:12|114729:14|114730:24|114731:19|114732:7|114733:20|114734:4|114735:9|114736:14|114737:12|114738:10|114739:11|114740:5|114741:5|114742:13|114743:7|114744:2|114745:6
9,89,2026-05-07T00:01:40.008,0,ABSTAIN_TOO_WIDE,,,0,0,1260,152,0,,0,114745,114629:1|114630:2|114631:2|114632:4|114633:5|114634:14|114635:12|114636:16|114637:14|114638:9|114639:12|114640:6|114641:10|114642:5|114643:4|114644:8|114645:3|114646:7|114647:5|114648:5|114649:8|114650:9|114651:9|114652:8|114653:12|114654:21|114655:10|114656:9|114657:10|114658:18|114659:13|114660:11|114661:13|114662:12|114663:14|114664:11|114665:11|114666:10|114667:6|114668:8|114669:18|114670:12|114671:6|114672:5|114673:12|114674:11|114675:13|114676:18|114677:17|114678:17|114679:10|114680:19|114681:25|114682:24|114683:26|114684:10|114685:6|114686:12|114687:22|114688:11|114689:12|114690:15|114691:16|114692:20|114693:11|114694:17|114695:8|114696:14|114697:6|114698:9|114699:19|114700:9|114701:5|114702:13|114703:7|114704:3|114705:4|114706:3|114707:1|114708:2|114710:2|114711:4|114712:2|114714:2|114715:1|114716:2|114717:5|114718:11|114719:9|114720:11|114721:12|114722:7|114723:10|114724:9|114725:9|114726:8|114727:7|114728:11|114729:11|114730:3|114731:8|114732:8|114733:10|114734:3|114735:2|114736:5|114737:17|114738:9|114739:8|114740:37|114741:4|114742:7|114743:8|114744:4|114745:9|114746:7|114747:9|114748:5|114749:3|114750:6|114751:6|114752:5|114753:3|114754:4|114755:5|114756:6|114757:5|114758:3|114759:4|114760:3|114761:1|114762:2|114763:4|114764:4|114765:3|114766:5|114767:1|114768:5|114769:5|114770:5|114771:3|114772:2|114773:3|114774:3|114775:2|114776:2|114778:2|114779:1|114780:3
10,99,2026-05-07T00:10:51.752,0,ABSTAIN_TOO_WIDE,,,0,0,1251,118,0,,0,114714,114639:1|114640:4|114641:3|114642:8|114643:7|114644:5|114645:7|114646:16|114647:17|114648:9|114649:5|114650:3|114651:6|114652:8|114653:5|114654:3|114655:11|114656:10|114657:8|114658:9|114659:10|114660:8|114661:14|114662:8|114663:11|114664:9|114665:13|114666:11|114667:12|114668:13|114669:7|114670:5|114671:5|114672:10|114673:11|114674:10|114675:7|114676:8|114677:7|114678:10|114679:6|114680:12|114681:5|114682:5|114683:3|114684:4|114685:6|114686:8|114687:8|114688:8|114689:8|114690:5|114691:11|114692:13|114693:7|114694:4|114695:8|114696:13|114697:6|114698:9|114699:16|114700:24|114701:20|114702:8|114703:20|114704:23|114705:17|114706:13|114707:16|114708:6|114709:16|114710:17|114711:17|114712:12|114713:16|114714:11|114715:11|114716:25|114717:10|114718:7|114719:10|114720:15|114721:18|114722:9|114723:19|114724:15|114725:18|114726:31|114727:23|114728:21|114729:21|114730:21|114731:18|114732:23|114733:9|114734:16|114735:14|114736:17|114737:10|114738:6|114739:7|114740:12|114741:7|114742:17|114743:8|114744:10|114745:10|114746:8|114747:6|114748:12|114749:2|114750:2|114751:5|114752:13|114753:4|114754:3|114755:2|114756:1
