# meta,indicator=AVolZoneSimple,version=1.0,instrument=NQ SEP26,tick_size=0.25,bars_per_block=10,area_share_pct=30,max_zone_ticks=12,min_concentration=1500,stateless=true,history=none,write_mode=overwrite
block_seq,bar_index,bar_close_time_utc,session_index,decision,lower_tick,upper_tick,zone_ticks,zone_volume,block_volume,block_ticks,concentration,side,distance_ticks,close_tick,cells
1,9,2026-08-23T22:01:35.308,0,ABSTAIN_TOO_WIDE,,,0,0,1286,439,0,,0,117275,117201:5|117202:1|117203:2|117204:2|117205:1|117206:1|117207:2|117208:1|117210:3|117211:1|117212:1|117213:3|117214:1|117216:1|117217:3|117218:5|117219:9|117220:7|117221:1|117222:2|117223:2|117224:2|117225:1|117226:2|117227:6|117228:1|117229:4|117231:3|117233:2|117234:1|117235:4|117237:2|117239:4|117240:6|117241:1|117243:3|117244:1|117245:1|117246:1|117247:1|117248:1|117249:2|117250:3|117251:1|117252:3|117253:3|117254:1|117255:2|117256:2|117257:3|117258:3|117259:3|117260:2|117261:5|117262:6|117263:8|117264:2|117265:1|117266:1|117269:2|117270:1|117271:1|117273:4|117275:2|117276:4|117277:2|117281:1|117283:1|117288:1|117289:1|117290:1|117291:5|117292:2|117293:2|117294:1|117296:2|117298:2|117299:2|117300:2|117301:2|117302:2|117303:1|117304:2|117305:2|117306:1|117318:11|117320:4|117325:2|117326:1|117327:4|117328:1|117329:2|117330:1|117331:1|117332:2|117333:1|117335:2|117336:4|117337:2|117338:1|117339:1|117340:2|117341:2|117342:10|117343:1|117344:2|117345:5|117346:2|117347:8|117348:9|117349:11|117350:13|117351:7|117352:15|117353:4|117354:8|117355:6|117356:2|117357:1|117358:5|117359:5|117360:10|117361:3|117362:9|117363:10|117364:3|117365:6|117366:7|117367:4|117368:5|117369:3|117370:7|117371:4|117372:1|117373:7|117374:10|117375:5|117376:5|117377:5|117378:5|117379:2|117380:2|117381:14|117382:6|117383:2|117384:5|117385:4|117386:7|117387:7|117388:7|117389:4|117390:4|117391:7|117392:5|117393:2|117395:2|117396:2|117397:3|117398:2|117399:2|117400:7|117401:1|117403:4|117404:1|117405:3|117406:2|117407:1|117408:1|117409:2|117410:2|117411:5|117412:5|117413:4|117414:4|117415:4|117417:2|117418:4|117419:2|117420:4|117421:1|117422:4|117423:1|117424:3|117425:1|117426:3|117427:1|117428:3|117429:2|117430:5|117431:1|117432:4|117433:1|117435:1|117436:1|117437:1|117438:1|117439:2|117440:14|117441:3|117442:1|117443:1|117444:2|117445:1|117446:1|117448:4|117449:3|117450:3|117451:3|117452:3|117453:1|117454:3|117456:1|117457:1|117458:2|117459:4|117460:1|117461:2|117462:3|117463:2|117464:2|117468:2|117470:2|117473:2|117474:2|117475:2|117476:2|117477:1|117479:3|117481:2|117483:1|117484:2|117485:2|117486:3|117487:6|117489:3|117490:1|117492:2|117494:3|117495:5|117496:4|117497:2|117498:7|117499:2|117500:2|117501:4|117502:3|117503:2|117504:1|117505:7|117506:3|117507:2|117508:1|117509:2|117510:4|117512:1|117513:3|117514:5|117515:3|117516:4|117517:1|117518:2|117519:1|117520:3|117521:3|117522:3|117523:2|117524:3|117525:3|117526:1|117527:1|117528:1|117529:1|117530:1|117531:2|117532:1|117533:18|117534:2|117536:5|117537:2|117538:1|117539:2|117540:3|117541:3|117543:3|117544:8|117545:2|117546:1|117547:6|117548:1|117549:3|117550:6|117551:7|117552:7|117553:2|117554:10|117555:2|117556:11|117558:20|117559:4|117560:6|117561:6|117562:2|117563:12|117564:4|117565:8|117566:1|117567:3|117568:2|117569:10|117570:1|117571:5|117572:3|117573:11|117574:9|117575:4|117577:1|117578:12|117579:1|117580:10|117581:1|117582:2|117583:1|117584:7|117585:7|117586:4|117587:1|117588:2|117590:3|117591:1|117592:5|117593:1|117594:2|117595:2|117596:3|117597:3|117598:2|117599:4|117600:5|117601:1|117602:4|117603:10|117604:3|117605:5|117606:1|117607:6|117608:2|117610:7|117612:3|117613:2|117614:10|117615:3|117617:3|117618:3|117619:5|117620:8|117621:4|117622:6|117623:6|117624:10|117625:1|117626:6|117627:5|117628:8|117629:2|117630:4|117631:3|117634:4|117635:1|117636:1|117639:4
2,19,2026-08-23T22:06:17.236,0,ABSTAIN_TOO_WIDE,,,0,0,1393,179,0,,0,117256,117208:1|117211:1|117215:2|117216:3|117219:1|117220:4|117221:3|117222:1|117223:1|117225:4|117227:1|117228:5|117229:1|117231:3|117232:12|117233:2|117234:2|117235:2|117238:12|117239:4|117240:7|117241:3|117242:2|117243:2|117244:2|117248:2|117249:2|117250:4|117251:1|117252:2|117253:4|117255:3|117256:2|117258:2|117259:2|117260:37|117261:6|117262:1|117263:6|117264:4|117265:2|117266:9|117267:11|117268:13|117269:17|117270:10|117271:9|117272:27|117273:18|117274:5|117275:14|117276:19|117277:19|117278:3|117279:16|117280:33|117281:14|117282:18|117283:27|117284:19|117285:18|117286:16|117287:23|117288:13|117289:12|117290:10|117291:6|117292:21|117293:13|117294:12|117295:8|117296:19|117297:7|117298:19|117299:18|117300:50|117301:11|117302:10|117303:16|117304:13|117305:9|117306:11|117307:10|117309:7|117310:11|117311:9|117312:46|117313:25|117314:11|117315:5|117316:16|117317:10|117318:20|117319:17|117320:21|117321:9|117322:21|117323:16|117324:13|117325:11|117326:15|117327:6|117328:39|117329:9|117330:6|117331:11|117332:16|117333:8|117334:7|117335:6|117336:3|117337:4|117338:7|117339:11|117340:28|117341:1|117342:6|117343:6|117344:1|117345:3|117347:7|117348:7|117349:8|117350:9|117351:6|117352:8|117353:2|117354:6|117355:3|117356:4|117357:2|117358:1|117359:4|117360:8|117362:4|117363:2|117364:2|117365:2|117366:1|117367:2|117368:2|117369:3|117370:2|117372:1|117373:2|117374:6|117375:4|117377:1|117378:2|117379:1|117380:7|117382:4|117385:1|117386:1
3,29,2026-08-23T22:22:04.032,0,ABSTAIN_TOO_WIDE,,,0,0,1300,113,0,,0,117354,117243:1|117244:3|117245:2|117246:1|117247:1|117249:3|117251:1|117252:2|117253:2|117254:1|117255:2|117256:4|117257:2|117258:16|117259:5|117260:10|117261:12|117262:7|117263:7|117264:6|117265:8|117266:11|117267:14|117268:25|117269:12|117270:14|117271:8|117272:29|117273:13|117274:15|117275:24|117276:24|117277:22|117278:21|117279:23|117280:27|117281:12|117282:16|117283:16|117284:14|117285:21|117286:11|117287:15|117288:19|117289:16|117290:33|117291:11|117292:13|117293:9|117294:6|117295:12|117296:18|117297:9|117298:16|117299:13|117300:28|117301:7|117302:17|117303:12|117304:36|117305:15|117306:11|117307:12|117308:18|117309:24|117310:18|117311:14|117312:15|117313:20|117314:14|117315:7|117316:19|117317:16|117318:29|117319:10|117320:35|117321:12|117322:7|117323:17|117324:10|117325:8|117326:13|117327:16|117328:21|117329:11|117330:15|117331:11|117332:10|117333:9|117334:12|117335:10|117336:6|117337:3|117338:3|117339:3|117340:12|117341:4|117342:4|117343:2|117344:1|117345:6|117346:6|117347:3|117348:9|117349:7|117350:1|117351:2|117352:2|117353:5|117354:1|117355:3
4,39,2026-08-23T22:39:57.200,0,ABSTAIN_TOO_WIDE,,,0,0,1340,143,0,,0,117418,117305:1|117307:1|117309:6|117310:1|117311:1|117312:1|117313:1|117314:2|117315:7|117316:15|117317:10|117318:13|117319:7|117320:10|117321:4|117322:2|117323:3|117325:2|117326:8|117328:4|117329:3|117330:5|117331:1|117332:2|117333:3|117334:6|117335:2|117336:4|117337:4|117338:4|117339:3|117340:4|117341:2|117342:5|117343:14|117344:10|117345:19|117346:16|117347:14|117348:26|117349:45|117350:17|117351:23|117352:30|117353:27|117354:24|117355:22|117356:27|117357:18|117358:27|117359:8|117360:31|117361:16|117362:35|117363:40|117364:23|117365:31|117366:25|117367:30|117368:27|117369:22|117370:27|117371:16|117372:41|117373:16|117374:28|117375:19|117376:21|117377:20|117378:12|117379:21|117380:26|117381:5|117382:6|117383:6|117384:15|117385:1|117386:4|117387:3|117388:6|117390:1|117392:1|117393:1|117394:1|117395:2|117396:3|117399:2|117400:5|117401:1|117402:5|117403:6|117404:11|117405:7|117406:22|117407:3|117408:5|117409:5|117410:5|117411:8|117412:6|117413:4|117414:3|117415:3|117416:6|117418:1|117420:7|117421:15|117422:10|117423:5|117424:12|117425:9|117426:9|117427:6|117428:12|117429:12|117430:2|117431:2|117432:2|117434:1|117436:2|117437:2|117438:1|117439:2|117440:5|117441:6|117442:5|117443:3|117444:1|117445:2|117446:2|117447:1
5,49,2026-08-23T22:49:20.796,0,ABSTAIN_TOO_WIDE,,,0,0,1254,197,0,,0,117570,117404:1|117406:3|117407:3|117408:1|117409:3|117410:2|117411:6|117412:5|117413:12|117414:6|117415:11|117416:12|117417:3|117418:4|117419:5|117420:2|117421:4|117422:6|117424:3|117425:1|117426:1|117427:1|117428:2|117429:4|117430:6|117431:4|117432:1|117433:3|117434:7|117435:4|117436:6|117437:3|117438:5|117439:2|117440:4|117441:9|117442:6|117443:1|117444:3|117445:14|117446:8|117447:4|117448:10|117449:7|117450:12|117451:2|117452:5|117454:2|117456:5|117457:2|117458:1|117459:1|117460:4|117461:2|117462:1|117467:1|117469:1|117470:3|117471:1|117472:2|117473:2|117474:2|117475:4|117476:2|117477:5|117478:11|117479:6|117480:14|117481:14|117482:7|117483:7|117484:13|117485:17|117486:7|117487:4|117488:7|117489:5|117490:10|117491:12|117492:8|117493:6|117494:12|117495:9|117496:12|117497:1|117498:3|117499:10|117500:9|117501:6|117502:8|117503:10|117504:7|117505:7|117506:7|117507:8|117508:8|117509:5|117510:10|117511:6|117512:9|117513:3|117514:2|117515:6|117516:12|117517:9|117518:9|117519:5|117520:7|117521:10|117522:5|117523:9|117524:5|117525:5|117526:1|117527:5|117528:8|117529:7|117530:9|117531:4|117532:7|117533:4|117534:5|117535:1|117536:3|117537:5|117538:5|117539:9|117540:10|117541:10|117542:6|117543:9|117544:4|117545:6|117546:2|117547:2|117548:2|117549:4|117550:2|117551:2|117552:2|117553:3|117554:4|117555:1|117558:16|117559:5|117560:6|117561:12|117562:7|117563:10|117564:5|117565:10|117566:8|117567:21|117568:16|117569:24|117570:17|117571:11|117572:21|117573:19|117574:7|117575:8|117576:16|117577:26|117578:29|117579:14|117580:11|117581:17|117582:20|117583:13|117584:13|117585:17|117586:14|117587:7|117588:11|117589:1|117590:3|117591:6|117592:7|117594:1|117595:5|117596:1|117598:1|117599:2|117600:4
6,59,2026-08-23T23:20:11.400,0,CREATE,117551,117561,11,400,1262,101,2910,SUPPORT,54,117615,117534:3|117535:3|117536:7|117537:9|117538:6|117539:12|117540:17|117541:7|117542:6|117543:8|117544:20|117545:19|117546:10|117547:17|117548:30|117549:24|117550:25|117551:46|117552:30|117553:38|117554:42|117555:24|117556:30|117557:42|117558:49|117559:26|117560:37|117561:36|117562:33|117563:25|117564:32|117565:34|117566:30|117567:20|117568:26|117569:16|117570:21|117571:16|117572:15|117573:9|117574:4|117575:5|117576:4|117578:9|117579:7|117580:17|117581:2|117582:12|117583:11|117584:12|117585:6|117586:6|117587:12|117588:11|117589:5|117590:7|117591:6|117592:10|117593:9|117594:9|117595:3|117596:6|117597:2|117598:2|117599:5|117600:7|117601:5|117602:4|117603:2|117604:7|117605:6|117606:7|117607:5|117608:8|117609:3|117610:1|117611:6|117612:2|117613:3|117614:2|117615:3|117616:5|117617:11|117618:6|117619:6|117620:4|117621:12|117622:20|117623:7|117624:6|117625:2|117626:2|117627:4|117628:2|117629:4|117630:2|117631:6|117632:6|117633:3|117634:1
7,69,2026-08-23T23:33:32.244,0,ABSTAIN_TOO_WIDE,,,0,0,1291,187,0,,0,117748,117606:4|117607:1|117608:6|117609:3|117610:2|117611:6|117612:7|117613:8|117614:5|117615:12|117616:9|117617:11|117618:11|117619:7|117620:9|117621:4|117622:7|117623:11|117624:11|117625:22|117626:19|117627:5|117628:9|117629:12|117630:6|117631:4|117632:2|117633:3|117634:1|117635:3|117636:3|117637:1|117638:3|117639:2|117640:29|117641:2|117642:5|117643:3|117644:2|117645:8|117646:2|117647:7|117648:6|117650:2|117651:2|117652:1|117653:3|117654:4|117655:3|117656:6|117657:8|117658:2|117659:2|117660:3|117661:3|117662:2|117664:4|117665:5|117666:3|117667:7|117668:3|117669:2|117670:7|117671:2|117672:3|117673:4|117674:1|117677:8|117678:2|117679:3|117680:5|117682:9|117683:4|117684:12|117685:12|117686:10|117687:21|117688:13|117689:12|117690:13|117691:13|117692:17|117693:7|117694:6|117695:5|117696:9|117697:12|117698:9|117699:12|117700:14|117701:13|117702:11|117703:15|117704:22|117705:15|117706:22|117707:20|117708:16|117709:21|117710:15|117711:5|117712:10|117713:8|117714:8|117715:13|117716:4|117718:4|117719:2|117720:7|117721:3|117722:14|117723:8|117724:5|117725:5|117726:4|117727:23|117729:1|117730:2|117731:2|117732:1|117736:1|117737:1|117738:2|117739:1|117741:1|117742:7|117743:4|117744:2|117746:3|117747:4|117748:6|117749:7|117750:8|117751:11|117752:12|117753:5|117754:10|117755:9|117756:16|117757:10|117758:9|117759:12|117760:15|117761:3|117762:11|117763:14|117764:7|117765:10|117766:13|117767:9|117768:16|117769:7|117770:11|117771:10|117772:9|117773:6|117774:11|117775:14|117776:11|117777:5|117778:2|117779:6|117780:6|117781:9|117782:8|117783:6|117784:7|117785:1|117786:6|117787:1|117788:6|117789:4|117790:1|117791:2|117792:1
8,79,2026-08-23T23:46:35.992,0,ABSTAIN_TOO_WIDE,,,0,0,1383,108,0,,0,117778,117672:3|117673:1|117674:10|117676:4|117677:2|117678:5|117679:7|117680:11|117681:13|117682:13|117683:15|117684:17|117685:16|117686:13|117687:25|117688:8|117689:13|117690:3|117691:7|117692:12|117693:8|117694:9|117695:6|117696:7|117697:4|117698:2|117699:2|117700:6|117701:10|117702:11|117703:18|117704:9|117705:8|117706:4|117707:2|117708:2|117709:7|117710:7|117711:4|117712:13|117713:8|117714:7|117715:9|117716:12|117717:5|117718:11|117719:15|117720:6|117721:11|117722:99|117723:27|117724:21|117725:11|117726:13|117727:21|117728:29|117729:10|117730:35|117731:8|117732:4|117733:6|117734:12|117735:7|117736:5|117737:13|117738:22|117739:19|117740:27|117741:16|117742:26|117743:17|117744:19|117745:24|117746:9|117747:12|117748:29|117749:20|117750:19|117751:16|117752:19|117753:18|117754:20|117755:27|117756:28|117757:29|117758:23|117759:15|117760:24|117761:13|117762:13|117763:4|117764:17|117765:13|117766:23|117767:8|117768:12|117769:15|117770:21|117771:3|117772:10|117773:1|117774:6|117775:1|117776:1|117778:1|117779:1
9,89,2026-08-23T23:54:17.572,0,ABSTAIN_TOO_WIDE,,,0,0,1285,161,0,,0,117835,117762:1|117763:2|117764:1|117765:1|117767:2|117768:3|117769:6|117770:4|117771:5|117772:8|117773:5|117774:10|117775:10|117776:13|117777:10|117778:9|117779:8|117780:7|117781:12|117782:5|117783:2|117784:5|117785:5|117786:3|117787:5|117788:5|117789:2|117792:4|117794:2|117795:1|117796:1|117798:3|117799:4|117800:11|117801:2|117802:3|117804:1|117805:1|117806:3|117807:1|117808:6|117809:5|117811:2|117812:3|117814:1|117815:6|117817:1|117818:2|117819:4|117820:4|117821:2|117822:2|117823:3|117824:8|117825:5|117826:6|117827:7|117828:6|117829:2|117830:4|117831:13|117832:22|117833:9|117834:8|117835:5|117836:12|117837:11|117838:32|117839:20|117840:32|117841:14|117842:8|117843:5|117844:20|117845:16|117846:7|117847:10|117848:13|117849:9|117850:9|117851:16|117852:26|117853:18|117854:16|117855:24|117856:23|117857:14|117858:11|117859:20|117860:30|117861:31|117862:20|117863:17|117864:15|117865:25|117866:28|117867:13|117868:11|117869:15|117870:14|117871:19|117872:8|117873:2|117874:7|117875:23|117876:8|117877:6|117878:10|117879:8|117880:20|117881:20|117882:19|117883:12|117884:19|117885:13|117886:18|117887:15|117888:12|117889:17|117890:4|117891:2|117892:4|117893:1|117894:2|117895:9|117897:4|117898:2|117899:3|117900:6|117901:4|117902:1|117904:2|117905:2|117906:3|117907:3|117908:5|117909:1|117910:1|117911:1|117912:5|117913:4|117914:1|117915:3|117916:11|117917:5|117918:4|117919:1|117920:6|117921:1|117922:1
10,99,2026-08-24T00:02:07.932,0,ABSTAIN_TOO_WIDE,,,0,0,1277,135,0,,0,117840,117769:1|117770:2|117771:3|117772:2|117773:4|117774:2|117775:5|117776:2|117777:2|117778:11|117779:2|117780:6|117781:4|117782:5|117783:11|117784:4|117785:7|117786:15|117787:6|117788:12|117789:11|117790:15|117791:17|117792:21|117793:17|117794:11|117795:6|117796:15|117797:8|117798:8|117799:19|117800:30|117801:13|117802:6|117803:6|117804:6|117805:14|117806:7|117807:6|117808:12|117809:11|117810:5|117811:9|117812:16|117813:6|117814:6|117815:13|117816:14|117817:8|117818:9|117819:15|117820:19|117821:7|117822:7|117823:7|117824:15|117825:8|117826:8|117827:8|117828:11|117829:18|117830:8|117831:9|117832:5|117833:8|117834:13|117835:14|117836:7|117837:15|117838:8|117839:8|117840:22|117841:13|117842:13|117843:13|117844:10|117845:6|117846:5|117847:17|117848:9|117849:6|117850:9|117851:24|117852:15|117853:4|117854:10|117855:8|117856:5|117857:6|117858:16|117859:13|117860:23|117861:5|117862:14|117863:13|117864:10|117865:9|117866:14|117867:11|117868:17|117869:5|117870:9|117871:8|117872:16|117873:5|117874:8|117875:21|117876:12|117877:17|117878:11|117879:10|117880:12|117881:13|117882:14|117883:8|117884:16|117885:17|117886:7|117887:3|117888:4|117889:2|117890:3|117891:6|117892:6|117893:3|117894:5|117895:8|117896:4|117897:4|117898:2|117899:4|117900:3|117903:2
