# meta indicator=TickBarDiag,version=1.1,purpose=TICKBAR-001,digest=fnv_basis_mix1000003_ulong,price=integer_ticks_awayfromzero,vol_int=round(vol*100),digest_scope=solo_eventos_de_la_ventana
# params instrument=NQ,tick_size=0.25,bars_period=Tick,bars_value=120,skip_bars=20,max_bars=150
kind,seq,ts_ticks,ts_iso,a,b,c,d,e,f,g,h,i,j,k
E,20,639107532019080000,2026-04-02T19:00:01.9080000,96832,100,-1,8876998453773055807,,,,,,,
E,21,639107532019080000,2026-04-02T19:00:01.9080000,96833,100,-1,3581755836427891998,,,,,,,
E,22,639107532020200000,2026-04-02T19:00:02.0200000,96820,100,-1,6881280715945768718,,,,,,,
E,23,639107532027120000,2026-04-02T19:00:02.7120000,96816,100,-1,13988478874903619442,,,,,,,
E,24,639107532033560000,2026-04-02T19:00:03.3560000,96830,100,-1,8948229418648240288,,,,,,,
E,25,639107532035560000,2026-04-02T19:00:03.5560000,96829,100,-1,2853041995225148923,,,,,,,
E,26,639107532051840000,2026-04-02T19:00:05.1840000,96818,100,-1,8578282394981493197,,,,,,,
E,27,639107532051840000,2026-04-02T19:00:05.1840000,96818,100,-1,10375641681908512559,,,,,,,
E,28,639107532051840000,2026-04-02T19:00:05.1840000,96811,100,-1,15791189118180190924,,,,,,,
E,29,639107532051840000,2026-04-02T19:00:05.1840000,96817,100,-1,3501154080104079459,,,,,,,
E,30,639107532051920000,2026-04-02T19:00:05.1920000,96816,100,-1,2447447014772745967,,,,,,,
E,31,639107532051920000,2026-04-02T19:00:05.1920000,96816,100,-1,7266307684116939739,,,,,,,
E,32,639107532052160000,2026-04-02T19:00:05.2160000,96808,100,-1,16663213262766991375,,,,,,,
E,33,639107532052160000,2026-04-02T19:00:05.2160000,96808,100,-1,14720334188921990115,,,,,,,
E,34,639107532052160000,2026-04-02T19:00:05.2160000,96815,100,-1,14157835599750188076,,,,,,,
E,35,639107532069280000,2026-04-02T19:00:06.9280000,96807,100,-1,15317977778552227365,,,,,,,
E,36,639107532069280000,2026-04-02T19:00:06.9280000,96807,100,-1,8475970193015095654,,,,,,,
E,37,639107532102560000,2026-04-02T19:00:10.2560000,96811,100,-1,3539166437523332411,,,,,,,
E,38,639107532102560000,2026-04-02T19:00:10.2560000,96811,100,-1,15455558259610739512,,,,,,,
E,39,639107532102560000,2026-04-02T19:00:10.2560000,96808,100,-1,14859354744603228628,,,,,,,
E,40,639107532102560000,2026-04-02T19:00:10.2560000,96808,100,-1,4407170381746421584,,,,,,,
E,41,639107532130080000,2026-04-02T19:00:13.0080000,96824,100,-1,7802040474682875612,,,,,,,
E,42,639107532130720000,2026-04-02T19:00:13.0720000,96823,100,-1,2338792359866063493,,,,,,,
E,43,639107532140440000,2026-04-02T19:00:14.0440000,96813,100,-1,4291264944565130840,,,,,,,
E,44,639107532140440000,2026-04-02T19:00:14.0440000,96813,100,-1,2702124986235715907,,,,,,,
E,45,639107532193000000,2026-04-02T19:00:19.3000000,96826,100,-1,8463573978469381485,,,,,,,
E,46,639107532199320000,2026-04-02T19:00:19.9320000,96812,100,-1,2435019202671591997,,,,,,,
E,47,639107532199320000,2026-04-02T19:00:19.9320000,96812,100,-1,2655248776480664973,,,,,,,
E,48,639107532199480000,2026-04-02T19:00:19.9480000,96811,100,-1,13535917836449769754,,,,,,,
E,49,639107532199480000,2026-04-02T19:00:19.9480000,96809,100,-1,4943259554325183497,,,,,,,
E,50,639107532201120000,2026-04-02T19:00:20.1120000,96814,300,-1,3517391217392221447,,,,,,,
E,51,639107532203840000,2026-04-02T19:00:20.3840000,96808,200,-1,10697302216392506623,,,,,,,
E,52,639107532204040000,2026-04-02T19:00:20.4040000,96809,100,-1,881909809171550870,,,,,,,
E,53,639107532205880000,2026-04-02T19:00:20.5880000,96813,100,-1,18321171485307290737,,,,,,,
E,54,639107532207480000,2026-04-02T19:00:20.7480000,96809,100,-1,11046353173977757848,,,,,,,
E,55,639107532208800000,2026-04-02T19:00:20.8800000,96812,100,-1,15934590975066477376,,,,,,,
E,56,639107532214600000,2026-04-02T19:00:21.4600000,96801,100,-1,17885097294278067783,,,,,,,
E,57,639107532214800000,2026-04-02T19:00:21.4800000,96800,100,-1,12421372350275952067,,,,,,,
E,58,639107532216320000,2026-04-02T19:00:21.6320000,96799,200,-1,13921219474473810240,,,,,,,
E,59,639107532231120000,2026-04-02T19:00:23.1120000,96799,100,-1,5760347027957585857,,,,,,,
E,60,639107532232640000,2026-04-02T19:00:23.2640000,96799,100,-1,2595136557678430154,,,,,,,
E,61,639107532238760000,2026-04-02T19:00:23.8760000,96805,100,-1,11983760822855798573,,,,,,,
E,62,639107532243000000,2026-04-02T19:00:24.3000000,96803,100,-1,904414894971139490,,,,,,,
E,63,639107532254000000,2026-04-02T19:00:25.4000000,96794,100,-1,15078006373517375204,,,,,,,
E,64,639107532254000000,2026-04-02T19:00:25.4000000,96789,100,-1,7886350809662919143,,,,,,,
E,65,639107532254000000,2026-04-02T19:00:25.4000000,96789,100,-1,7740542768438713730,,,,,,,
E,66,639107532254080000,2026-04-02T19:00:25.4080000,96789,100,-1,12414363259678876277,,,,,,,
E,67,639107532265440000,2026-04-02T19:00:26.5440000,96802,100,-1,6364325047579028711,,,,,,,
