# meta,indicator=VolTicksPOC2,version=2.1,instrument=6E 09-26,tick_size=5E-05,avg_period=200,ratio_window=2000,percentile=99.5,min_samples=500,export_floor=95,poc_tiebreak=lowest_tick,footprint=reconstructed_1tick_subseries
event_seq,event_type,bar_index,bar_close_time,poc_tick,ratio,baseline,bar_volume,tick_volume,poc_volume,poc_share,threshold,window_count,zone_id,touch_count,reason
1,OBS,744,2026-04-16T06:18:00.000,23717,5.444646,2.755,15,15,15,1,21.843003,544,0,0,0.974265
2,OBS,767,2026-04-16T11:19:00.000,23705,7.155635,2.795,20,20,20,1,21.843003,567,0,0,0.987654
3,OBS,769,2026-04-16T11:40:00.000,23704,3.893805,2.825,11,11,11,1,21.843003,569,0,0,0.954306
4,OBS,788,2026-04-17T03:10:00.000,23708,5.338078,2.81,15,15,15,1,21.843003,588,0,0,0.971088
5,OBS,818,2026-04-17T10:43:00.000,23834,9.596929,2.605,25,25,25,1,13.509934,618,0,0,0.991909
6,OBS,829,2026-04-17T11:12:00.000,23805,7.259528,2.755,20,20,20,1,13.509934,629,0,0,0.987281
7,OBS,835,2026-04-17T11:43:00.000,23807,6.968641,2.87,20,20,20,1,13.509934,635,0,0,0.984252
8,OBS,836,2026-04-17T11:52:00.000,23789,5.059022,2.965,15,15,15,1,13.509934,636,0,0,0.963836
9,FOOTPRINT_MISMATCH,859,2026-04-17T16:25:00.000,0,2,0,1,2,0,0,0,659,0,0,reconstructed_vs_bar_volume
10,OBS,860,2026-04-17T16:32:00.000,23705,8.205128,2.925,24,24,24,1,13.509934,660,0,0,0.989394
11,FOOTPRINT_MISMATCH,865,2026-04-17T17:54:00.000,0,4,0,5,4,0,0,0,665,0,0,reconstructed_vs_bar_volume
12,OBS,889,2026-04-20T05:53:00.000,23670,5.102041,2.94,15,15,15,1,13.509934,689,0,0,0.965167
13,OBS,904,2026-04-20T09:32:00.000,23670,7.38255,2.98,22,22,20,0.909091,13.509934,704,0,0,0.988636
14,OBS,953,2026-04-21T05:58:00.000,23674,4.384486,2.965,13,13,8,0.615385,13.509934,753,0,0,0.957503
15,OBS,954,2026-04-21T06:00:00.000,23676,4.628099,3.025,14,14,9,0.642857,13.509934,754,0,0,0.961538
16,OBS,979,2026-04-21T12:00:00.000,23653,4.991087,2.805,14,14,7,0.5,13.509934,779,0,0,0.96534
17,OBS,1002,2026-04-21T16:43:00.000,23586,22.105263,2.85,63,63,23,0.365079,13.368984,802,0,0,0.997506
18,ZONE_CREATED,1002,2026-04-21T16:43:00.000,23586,22.105263,0,63,0,0,0.365079,13.368984,802,1,0,0.997506
19,OBS,1005,2026-04-21T16:46:00.000,23598,14.920635,3.15,47,47,40,0.851064,13.509934,805,0,0,0.995031
20,ZONE_CREATED,1005,2026-04-21T16:46:00.000,23598,14.920635,0,47,0,0,0.851064,13.509934,805,2,0,0.995031
21,OBS,1006,2026-04-21T16:53:00.000,23597,4.464286,3.36,15,15,15,1,14.920635,806,0,0,0.955335
22,ZONE_TOUCHED,1007,2026-04-21T17:10:00.000,23598,0,0,0,0,0,0,0,0,2,1,
23,ZONE_INVALIDATED,1007,2026-04-21T17:10:00.000,23598,0,0,0,0,0,0,0,0,2,1,close_through
24,OBS,1018,2026-04-22T06:26:00.000,23651,4.279601,3.505,15,15,15,1,14.920635,818,0,0,0.953545
25,OBS,1022,2026-04-22T06:53:00.000,23651,4.011461,3.49,14,14,14,1,14.920635,822,0,0,0.952555
26,OBS,1023,2026-04-22T07:53:00.000,23653,4.219409,3.555,15,15,15,1,14.920635,823,0,0,0.952612
