session,contract,warmup_session,K_ABS,K_BT2,N_RAND_median,K_ABS_SHUFFLE_median,K_ABS_events,K_BT2_events
20260330,GC 06-26,20260327,2.5,45.0,-2.0,-2.0,46,13
20260331,GC 06-26,20260330,6.0,68.0,6.0,-5.0,45,12
20260401,GC 06-26,20260331,21.5,23.0,8.5,-0.5,48,25
20260402,GC 06-26,20260401,-42.0,12.0,-14.0,-3.0,51,24
20260406,GC 06-26,20260402,-22.0,-3.0,-9.0,-3.0,23,11
20260407,GC 06-26,20260406,25.5,-1.5,-14.0,0.0,40,18
20260408,GC 06-26,20260407,-10.5,-78.5,-4.0,5.5,82,30
20260409,GC 06-26,20260408,-9.0,-143.5,-12.0,-1.0,58,4
20260410,GC 06-26,20260409,2.0,15.5,-7.5,3.5,42,14
20260413,GC 06-26,20260410,-15.0,4.0,-12.0,-2.0,48,9
20260414,GC 06-26,20260413,18.5,-4.5,1.0,3.0,46,18
20260415,GC 06-26,20260414,10.0,-48.0,-5.0,1.0,49,10
20260416,GC 06-26,20260415,-2.0,5.0,-6.0,0.0,55,17
20260417,GC 06-26,20260416,6.5,14.0,-11.0,-0.5,54,19
20260420,GC 06-26,20260417,3.0,-34.0,4.0,2.0,61,3
20260421,GC 06-26,20260420,1.5,-14.0,-4.5,-3.0,94,15
20260422,GC 06-26,20260421,6.0,24.5,1.0,-1.0,55,8
20260423,GC 06-26,20260422,8.0,-41.0,2.0,-1.0,89,7
20260424,GC 06-26,20260423,-15.0,-10.5,-8.5,1.5,46,4
20260427,GC 06-26,20260424,4.0,-1.0,-6.0,1.0,31,3
20260428,GC 06-26,20260427,-11.0,-41.0,-11.5,0.5,76,11
20260429,GC 06-26,20260428,6.0,-35.0,0.0,0.0,77,7
20260430,GC 06-26,20260429,-8.0,20.0,-7.0,-1.0,67,9
20260501,GC 06-26,20260430,-6.0,-13.0,-6.0,2.0,47,10
20260504,GC 06-26,20260501,-10.0,53.5,0.0,-2.0,41,2
20260505,GC 06-26,20260504,15.0,16.0,-5.0,1.0,37,2
20260506,GC 06-26,20260505,21.0,-12.0,-9.0,2.0,67,9
20260507,GC 06-26,20260506,-0.5,-118.0,-12.5,3.5,68,5
20260508,GC 06-26,20260507,-9.5,-0.5,-3.0,2.0,46,8
20260511,GC 06-26,20260508,4.0,9.0,-5.0,-1.0,53,2
20260512,GC 06-26,20260511,6.0,15.0,-8.0,-1.5,40,7
20260513,GC 06-26,20260512,-1.0,32.5,-6.0,1.0,45,8
20260514,GC 06-26,20260513,22.0,13.5,0.0,4.0,36,4
20260515,GC 06-26,20260514,-20.0,-14.0,-2.0,-3.0,47,12
20260518,GC 06-26,20260515,18.0,22.0,-1.0,4.0,55,9
20260519,GC 06-26,20260518,2.0,-40.0,0.0,0.0,55,3
20260520,GC 06-26,20260519,29.0,-43.5,-2.0,-3.0,52,8
20260521,GC 06-26,20260520,6.5,28.0,-11.0,0.0,36,14
20260522,GC 06-26,20260521,-12.0,138.0,-5.0,0.0,25,1
20260525,GC 06-26,20260522,1.0,28.0,-5.0,3.0,19,4
20260526,GC 06-26,20260525,23.0,0.0,9.0,6.0,44,11
20260527,GC 06-26,20260526,3.0,68.0,-9.5,-18.5,6,7
