case_type,py_id,nt8_id,evidence_level,time_delta_seconds,py_n_cells,nt8_n_cells,py_median,nt8_median,nt8_hot_threshold,nt8_decision,mechanism,n_value_diffs,py_only_vol,nt8_only_vol,n_py_only_ticks,n_nt8_only_ticks
GEOMETRY_DIFF,106,9,DIRECT,0.0,66,65,13.0,12.0,24.0,CREATE,EDGE_LEVELS_MISSING+SHARED_CELL_VALUE_NOISE,3,1.0,0,1,0
GEOMETRY_DIFF,119,27,DIRECT,0.0,52,52,17.0,15.0,30.0,CREATE,SHARED_CELL_VALUE_NOISE,4,0,0,0,0
GEOMETRY_DIFF,139,55,DIRECT,0.0,30,28,25.0,29.0,58.0,CREATE,EDGE_LEVELS_MISSING+SHARED_CELL_VALUE_NOISE,2,13.0,0,2,0
GEOMETRY_DIFF,147,65,DIRECT,0.0,52,52,16.0,15.0,30.0,CREATE,SHARED_CELL_VALUE_NOISE,3,0,0,0,0
GEOMETRY_DIFF,151,68,DIRECT,0.0,55,55,12.0,12.0,24.0,CREATE,SHARED_CELL_VALUE_NOISE,6,0,0,0,0
GEOMETRY_DIFF,197,135,DIRECT,0.0,109,107,6.0,6.0,12.0,CREATE,EDGE_LEVELS_MISSING+SHARED_CELL_VALUE_NOISE,7,3.0,0,2,0
GEOMETRY_DIFF,202,146,DIRECT,0.0,99,99,8.0,7.0,14.0,CREATE,SHARED_CELL_VALUE_NOISE,5,0,0,0,0
GEOMETRY_DIFF,221,176,DIRECT,0.0,65,65,10.0,9.0,18.0,CREATE,SHARED_CELL_VALUE_NOISE,4,0,0,0,0
GEOMETRY_DIFF,256,240,DIRECT,0.0,78,78,12.0,12.0,24.0,CREATE,SHARED_CELL_VALUE_NOISE,5,0,0,0,0
GEOMETRY_DIFF,268,259,DIRECT,0.0,85,80,6.0,7.0,14.0,CREATE,EDGE_LEVELS_MISSING+SHARED_CELL_VALUE_NOISE,2,16.0,0,5,0
GEOMETRY_DIFF,288,282,DIRECT,0.0,62,62,12.0,12.0,24.0,CREATE,SHARED_CELL_VALUE_NOISE,14,0,0,0,0
GEOMETRY_DIFF,289,284,DIRECT,0.0,57,57,9.0,10.0,20.0,CREATE,SHARED_CELL_VALUE_NOISE,2,0,0,0,0
GEOMETRY_DIFF,305,311,DIRECT,0.0,89,89,9.0,10.0,20.0,CREATE,SHARED_CELL_VALUE_NOISE,2,0,0,0,0
GEOMETRY_DIFF,360,386,DIRECT,0.0,107,107,8.0,7.0,14.0,CREATE,SHARED_CELL_VALUE_NOISE,9,0,0,0,0
GEOMETRY_DIFF,361,387,DIRECT,0.0,132,117,5.0,6.0,12.0,CREATE,EDGE_LEVELS_MISSING+SHARED_CELL_VALUE_NOISE,4,35.0,0,15,0
GEOMETRY_DIFF,365,392,DIRECT,0.0,55,55,13.0,12.0,24.0,CREATE,SHARED_CELL_VALUE_NOISE,3,0,0,0,0
GEOMETRY_DIFF,372,413,DIRECT,0.0,66,53,6.0,10.0,20.0,CREATE,EDGE_LEVELS_MISSING+SHARED_CELL_VALUE_NOISE,4,31.0,0,13,0
GEOMETRY_DIFF,383,433,DIRECT,0.0,53,53,13.0,12.0,24.0,CREATE,SHARED_CELL_VALUE_NOISE,3,0,0,0,0
GEOMETRY_DIFF,388,439,DIRECT,0.0,47,47,18.0,17.0,34.0,CREATE,SHARED_CELL_VALUE_NOISE,3,0,0,0,0
MISSING_IN_NT8,98,,DIRECT,0.0,134,134,6.0,6.0,12.0,ABSTAIN_NO_HISTORY,SHARED_CELL_VALUE_NOISE,12,0,0,0,0
MISSING_IN_NT8,99,,DIRECT,0.0,98,98,9.0,9.0,18.0,ABSTAIN_NO_HISTORY,SHARED_CELL_VALUE_NOISE,3,0,0,0,0
MISSING_IN_NT8,100,,DIRECT,0.0,77,77,11.0,11.0,22.0,ABSTAIN_NO_HISTORY,SHARED_CELL_VALUE_NOISE,5,0,0,0,0
MISSING_IN_NT8,104,,DIRECT,0.0,57,57,11.0,11.0,22.0,ABSTAIN_BELOW_THRESHOLD,SHARED_CELL_VALUE_NOISE,3,0,0,0,0
MISSING_IN_NT8,105,,DIRECT,0.0,53,53,14.0,14.0,28.0,ABSTAIN_BELOW_THRESHOLD,SHARED_CELL_VALUE_NOISE,4,0,0,0,0
MISSING_IN_NT8,110,,DIRECT,0.0,100,100,9.0,9.0,18.0,ABSTAIN_NO_HISTORY,SHARED_CELL_VALUE_NOISE,2,0,0,0,0
