session_index,cme_session,contract,n_K_ABS,n_K_BT2,file_bytes,file_sha256,payload_sha256,source_event_checkpoint_sha256,nrand_anchor_matrix_sha256
20,20250901,GC 12-25,31,21,42103,5ec2d0246a34652044e2aecf8c9347f3b0d8383ee4cf6904f97afe9bace2e4b4,aef50c58d5c6645eb04f36fa6ddb8ca736236992c3c3c095ac1a6c7533636b5c,68b959de16b7bc7fc0605f2d3330cead1873adc8682f64c9dcf7d9ed4f6e00d2,fb37d5ae75f4b31593eb5175f751b5692ca796ff80fc4cf6f9172a2b58d3c2af
21,20250902,GC 12-25,51,34,41523,8b822c729827050588dcbd79e01623897b560e12072b2c234db48417e26a53a3,384cdb9e63a8f6e8deba24e4eee2f999de0a939d2be6e6fa8fcfb94bcce333cc,713d9584757cedeaaf11f0824c07304b6739ec040b6528824c140ca5ab9c6b54,b136f8bc8776e9b863c898908ab8cc6f64c7a2056eee6ac77adc85e18f2ffc71
22,20250903,GC 12-25,49,33,41052,b9ad017e5204a3b83294e5daf6e4727ebfcc882bb40ade6ef71a339f9b357e1e,596b05bf51a5cc4a56675a7257b6cd302c86807e3cde1423b8b1df19215c17f3,e04e34ec8ccde299ee994d86c2bdb82b97c807feac5805adaef0e8a8b1be24dd,78bfc0761ddd90ce066cb562f4d7e87d461074bc6f35df3ab3fb7e86b4689956
23,20250904,GC 12-25,52,38,41495,de8e0945b2d5d5a9b8942acb88be70c039e21fdb46557e4ff93ccee806400816,845e30cde3ae618371ba45bf4f3057c8d7d5419f4125f704ee1eb784a715a8e8,e4b4b93bd4e61678ba9933a63af02642d70298601614684a339028c0cae5f3a7,ea13264af7b7eef460f61cc9bbc5e8f19c351e482f893da04d88643cb18ad320
24,20250905,GC 12-25,56,39,42229,92e9020912f5d1a8dcb7ccb12f593bef7f6b04287590d9a53ac84997c9889f12,741cbc26c229e1ac397d5ab1d44d4678eae344effcf40c9280bdbcbc682661d4,4bc50c86a28f418151110d0486b9b206b52e505afda0487712aa5cbdeb138515,6b1a8ae4f85d8a96ae6a10d9450b39d0c86fdf637785ade57245bff526253a72
25,20250908,GC 12-25,53,35,41360,0ec0d9deb5e938a34236a5fb6d93fd1bafe36aee4a409ee4296a6512b41d1668,1784a3df526951020cc17fa1eb97d394696e75f4a855cf463ee0eb4ba569be8d,cf87c485d65c1979f69178cc98817651d355aff4f7c4a44ca6446556b05e32e8,be39a957f3d5f6cfb5f422441010ec5f63abc05a6b58d20bff3b67e575cbb40c
26,20250909,GC 12-25,57,31,41904,0f7bc764cb65aef18da618e29e90bea3d370f5066fe0c1e56c96f31ebe51f987,67f8a578d8aafff7f5b8d9766e562f96a9e832965aef0181079399f9c0e2ed68,a7217a0fdaf4d101b2bb84beb6f725be4aa2b1fe202a212918d3d017e3462546,22fa63abffe4fc8a33a044d5099f8eac9c7a9afd07a64e58bfd37eef056d76c2
27,20250910,GC 12-25,48,18,40125,b4bf022388af45156b807f54cd385dee410013c012450cc86f70ad8d42be070e,02a95afe3b9cc8a4379574f1583d51863ec080ede54e8e60c0bcbbac6dfbd064,efd40bd0dd6281d47c020910da70d5460a435d37acc45097ac4906ff6781ddfa,bcc30a1e628900bf115af7fd3f8341310250c7ab9e29690b18cff718daa11a46
28,20250911,GC 12-25,42,44,42845,d248ef8f0309d9aabbc08e00d7e72a2a933ccd6d614cfbc4954b6c73403f134e,7afdfe1401e6ba94f6bc362baabb56fc25953eed204c83659e489918b19a9d2b,f7abc68ee0726e6f65e40d5803fdc8ee549b1289b31190fcc671d4cf85d012b2,81c733dc2caf0d7559a7ee57ed13beb3917c2ac5e60f68ae91b74a73575371f2
29,20250912,GC 12-25,32,12,37493,10607080d55c23ce8db67930c871622a4474615e6eefada07c082fcae90a20db,b105e9e0dc40509168c70b3bcb1b23e9c5036a91c0beb6f6324ab33d3419ef88,6727c9557c8ac0c274a5ede4e96047b86833b6f395c0bf4ce7e4a3dbf214d3ae,985fa7b8f69cf995b9e3b2f410b0f001050f77fd9d61423b7dd97acaed4e5922
30,20250915,GC 12-25,26,18,40580,7d8af4bec75a454629b46802e6a4f16c218d2df7e227bf7fda0b523c61f9be69,1bde58dd5d8d07e605f31525c4906e3c586c609544e22433413f357e909d766c,272f0f1f1756abf6e0598348330bd3c52f0aef87c3b0821f1784c6c3f084fd9e,2d7caf8e9948feb66a505b41a7a271ab805a19031e0669b76ec80b5df55b2641
31,20250916,GC 12-25,41,15,39754,19cd7a7d66e89e695ca25d6e2f1549772749bbaf7beb5da05ae7bc78433326de,681db14a433600f44ab72d7c0810cd3c5e652b49c77cff2a57d28e5f29d01b65,31cf45034b748c26d6fd80df3c84d1332f08c2a9681ca3feca376458a4139c62,45e9f7bce3e3e97eea6cef44ea59f701d134ef1963ead56ae892c1809177fe83
32,20250917,GC 12-25,84,26,42962,8c5473fcfb7659964224cd7f8b04c651442183eb703e67ad8db5fc7916b36f84,362d644029daddd2ea20cbc1572a2c46ea9869c8b33cd89045daf971f7a085ab,d1edb5839c393118aafab0828f4baa424678bc97eee130fa84f6a8499758109a,93f1ff3bbb720c077d6f678c0b2bb969d0e05279c3e1b111fd4798d1fd3fa93f
33,20250918,GC 12-25,43,20,39775,a84dc72864f81db9df13108941a70307f91f250fd9aec446205236b904216a9e,53c6cf43b0f26cd49dcb9cad5e08db5bb73c2cfd84da443410daa603aa32fcfe,c29ab9b547a2fd4ac4a92358454535567a0d02151823ac56498cf4a11f5d73f2,b183d6dfed6ec2073ee858e5d85cb936e8dd7b7237e8fe721e9967b10bb0ce0a
34,20250919,GC 12-25,21,17,40990,fe62d38b28e1e91c86af2211c74104eab4f1752f19c12c7b50f451ea2384ea15,55dffed158cea4a5e6330272bc7575ccc82613ac3056cc73e06f4923efeab676,5808609673058e28afbdf95da5f94dba9a7aaabe43404d42d866d54191ddfd7b,74b90335d8b189eeca5489ce4808d6e299a059e0658714d6fc51fc332992aa46
35,20250922,GC 12-25,33,14,40402,0daf8376103fd98eb77cd6421ecdae7cbb1f7147427dd1b342db93038315a200,b3e573b3b886bfeb9673e781f8a6302ce738bec58808a72ccbc0170887f5ab90,3aa9bae16d3f462bc0c4837c0065de147e29d6221f08f521b644a938e9235929,505ed00453804ef1e2a744dd70a920b9a4ae6b8bc1357db62111f76ad0bc312b
36,20250923,GC 12-25,77,22,41632,74b1ecc5f03238fd6b6da17a8206624976152cd467541001a44ca69a7023b1db,c494a343c94ed6aaadbdd44e9fb5c96cdd895c9a6fab7d6e5315f8743ef7dfcb,c476037621489675692d1bf4488d49ad10b8ee562cf6bc7d14afe3be08594c18,cea403e4b974a94e5f8acf7d1b7fa2575d8c3af2795fe7e4c7dd11d884d79155
37,20250924,GC 12-25,40,21,37487,88071b63a81dc8245582eaa3257cf83422209f2ab37ce6bbfdf212085a4691d7,bccf34ad0df5e06585b26492a3d05d3971d7f7bf4d3d2d41e08e50ba850ef156,92e6317e1dc6c15a43fcf8e59185c8e66e4c50d7f2aa01b62c307979ef5cf64d,0233d1bf9433e33492d81fc73aec8a1026e1e3a387d2c166686f0e14fcc83c88
38,20250925,GC 12-25,66,28,41924,251bc62bf968269ca5458b4ca8b578689f95a9081ad2fe16db217cad3ee4ae81,1d418faaf40ffa61e4d0c87ec46104ddbabc1087b51206be4a21b6e4ee5ada26,f12dd2bc5e42191a9b1b59b9f50c8d427d60f15fd12c53adfc334b2860f10490,2bfa6021d15e52d5cb301d3a99f553fa600a9904a95ae8ef6325da816dc52fb1
39,20250926,GC 12-25,38,18,40422,3920ef45fa78b582216b37366805ddd023ef447a746a621a659b34b449597b03,353a476e24a6542e74cc54269f76c107495dcb9f99ffd4dd4febc048af8213cc,289b1d972401af9907d015a3b52b4dbf09b2a8bd25d5e0c501c4641c90a53dc6,947aad289e362358d512d2c4be878919faac1fda1a0bd65096934e298006a50e
