event_id,session_id,t0,regime,regime_name,post_calmo,post_normal,post_volatil,vpin,sticky_age_bars,model_id,run_id,seed,commit,as_of_ok,fail_reason,ancho_ticks
Z10,2026-03-12,2026-03-12 14:40:00+00:00,0,calmo,1.0,0.0,0.0,0.470191000196011,2,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z18,2026-03-12,2026-03-12 14:48:00+00:00,2,volatil,0.0,0.0,1.0,0.3669248043145662,2,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z26,2026-03-12,2026-03-12 14:56:00+00:00,2,volatil,0.0,0.0,1.0,0.3889513353934301,10,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z34,2026-03-12,2026-03-12 15:04:00+00:00,0,calmo,1.0,0.0,0.0,0.3524417169400342,2,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z42,2026-03-12,2026-03-12 15:12:00+00:00,0,calmo,1.0,0.0,0.0,0.4279338792183913,10,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z50,2026-03-12,2026-03-12 15:20:00+00:00,2,volatil,0.0,0.0,1.0,0.3329469191592317,1,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z58,2026-03-12,2026-03-12 15:28:00+00:00,2,volatil,0.0,0.0,1.0,0.3239039719934465,9,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z66,2026-03-12,2026-03-12 15:36:00+00:00,1,normal,0.0,1.0,0.0,0.4352954493153667,0,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z74,2026-03-12,2026-03-12 15:44:00+00:00,1,normal,0.0,1.0,0.0,0.5530155197823877,8,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z82,2026-03-12,2026-03-12 15:52:00+00:00,0,calmo,1.0,0.0,0.0,0.3397781700945776,0,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z90,2026-03-12,2026-03-12 16:00:00+00:00,1,normal,0.0,1.0,0.0,0.479404214297498,1,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z98,2026-03-12,2026-03-12 16:08:00+00:00,2,volatil,0.0,0.0,1.0,0.5689154412488462,7,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z106,2026-03-12,2026-03-12 16:16:00+00:00,2,volatil,0.0,0.0,1.0,0.4308723335569868,1,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
Z114,2026-03-12,2026-03-12 16:24:00+00:00,1,normal,0.0,1.0,0.0,0.597482265208691,0,gate_tf_causal_bal_v2_feat10_sticky90_vpin055,65cae53546514e0f,20260823,local,True,,5.0
