# schema=event_capture_raw_v2
# capture_id=20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a
# process_instance_id=pid-13004-start-639213828543977486
# created_utc=2026-08-03T20:14:30.2676020Z
# stopwatch_frequency=10000000
# capture_mode_label=live_l1
# queue_capacity=250000
# source_sequence=NOT_EXPOSED_BY_THIS_NT8_CALLBACK
capture_id	process_instance_id	callback_seq	capture_seq	source_time_ticks	source_time_kind	source_time_iso	capture_utc_ticks	capture_utc_iso	monotonic_ticks	stopwatch_frequency	nt8_state	event_kind	instrument	contract	price	volume	bid	ask	aggressor	aggressor_provenance	timestamp_provenance	quote_provenance	capture_mode_label
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	0	0	639213740707120000	Unspecified	2026-08-03T17:14:30.7120000	639213848709243418	2026-08-03T20:14:30.9243418Z	730547929001	10000000	Realtime	Ask	6E	6E 09-26	1.1528	68	1.15275	1.1528	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	1	1	639213740707120000	Unspecified	2026-08-03T17:14:30.7120000	639213848709257032	2026-08-03T20:14:30.9257032Z	730547936315	10000000	Realtime	Bid	6E	6E 09-26	1.15275	12	1.15275	1.1528	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	2	2	639213740709230000	Unspecified	2026-08-03T17:14:30.9230000	639213848711539223	2026-08-03T20:14:31.1539223Z	730550215320	10000000	Realtime	Ask	6E	6E 09-26	1.1528	61	1.15275	1.1528	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	3	3	639213740764760000	Unspecified	2026-08-03T17:14:36.4760000	639213848766698395	2026-08-03T20:14:36.6698395Z	730605376733	10000000	Realtime	Ask	6E	6E 09-26	1.1528	66	1.15275	1.1528	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	4	4	639213740764760000	Unspecified	2026-08-03T17:14:36.4760000	639213848766778339	2026-08-03T20:14:36.6778339Z	730605459900	10000000	Realtime	Last	6E	6E 09-26	1.15275	1	1.15275	1.1528	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	5	5	639213740764760000	Unspecified	2026-08-03T17:14:36.4760000	639213848766778339	2026-08-03T20:14:36.6778339Z	730605461014	10000000	Realtime	Last	6E	6E 09-26	1.15275	8	1.15275	1.1528	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	6	6	639213740764760000	Unspecified	2026-08-03T17:14:36.4760000	639213848766778339	2026-08-03T20:14:36.6778339Z	730605461101	10000000	Realtime	Last	6E	6E 09-26	1.15275	3	1.15275	1.1528	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	7	7	639213740764780000	Unspecified	2026-08-03T17:14:36.4780000	639213848766778339	2026-08-03T20:14:36.6778339Z	730605461148	10000000	Realtime	Ask	6E	6E 09-26	1.15275	1	1.15275	1.1528	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	8	8	639213740764780000	Unspecified	2026-08-03T17:14:36.4780000	639213848766778339	2026-08-03T20:14:36.6778339Z	730605461194	10000000	Realtime	Bid	6E	6E 09-26	1.1527	73	1.1527	1.15275	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	9	9	639213740764780000	Unspecified	2026-08-03T17:14:36.4780000	639213848766778339	2026-08-03T20:14:36.6778339Z	730605461260	10000000	Realtime	Last	6E	6E 09-26	1.15275	1	1.1527	1.15275	buy	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	10	10	639213740764780000	Unspecified	2026-08-03T17:14:36.4780000	639213848766778339	2026-08-03T20:14:36.6778339Z	730605461334	10000000	Realtime	Ask	6E	6E 09-26	1.1528	73	1.1527	1.1528	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	11	11	639213740764780000	Unspecified	2026-08-03T17:14:36.4780000	639213848766778339	2026-08-03T20:14:36.6778339Z	730605461378	10000000	Realtime	Bid	6E	6E 09-26	1.15275	5	1.1527	1.1528	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	12	12	639213740764780000	Unspecified	2026-08-03T17:14:36.4780000	639213848766778339	2026-08-03T20:14:36.6778339Z	730605461440	10000000	Realtime	Last	6E	6E 09-26	1.15275	1	1.15275	1.1528	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	13	13	639213740764780000	Unspecified	2026-08-03T17:14:36.4780000	639213848766778339	2026-08-03T20:14:36.6778339Z	730605461485	10000000	Realtime	DailyVolume	6E	6E 09-26	0	135953	-1.7976931348623157E+308	-1.7976931348623157E+308	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	14	14	639213740765020000	Unspecified	2026-08-03T17:14:36.5020000	639213848767045057	2026-08-03T20:14:36.7045057Z	730605730505	10000000	Realtime	Ask	6E	6E 09-26	1.1528	87	1.15275	1.1528	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	15	15	639213740765020000	Unspecified	2026-08-03T17:14:36.5020000	639213848767055106	2026-08-03T20:14:36.7055106Z	730605731232	10000000	Realtime	Bid	6E	6E 09-26	1.15275	4	1.15275	1.1528	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	16	16	639213740765340000	Unspecified	2026-08-03T17:14:36.5340000	639213848767417110	2026-08-03T20:14:36.7417110Z	730606101409	10000000	Realtime	Last	6E	6E 09-26	1.15275	4	1.15275	1.1528	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	17	17	639213740765340000	Unspecified	2026-08-03T17:14:36.5340000	639213848767417110	2026-08-03T20:14:36.7417110Z	730606102230	10000000	Realtime	DailyVolume	6E	6E 09-26	0	135957	-1.7976931348623157E+308	-1.7976931348623157E+308	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	18	18	639213740765650000	Unspecified	2026-08-03T17:14:36.5650000	639213848767417110	2026-08-03T20:14:36.7417110Z	730606102388	10000000	Realtime	Ask	6E	6E 09-26	1.15275	65	1.15275	1.1528	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	19	19	639213740765650000	Unspecified	2026-08-03T17:14:36.5650000	639213848767417110	2026-08-03T20:14:36.7417110Z	730606102513	10000000	Realtime	Bid	6E	6E 09-26	1.1527	12	1.1527	1.15275	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	20	20	639213740766310000	Unspecified	2026-08-03T17:14:36.6310000	639213848767965061	2026-08-03T20:14:36.7965061Z	730606649165	10000000	Realtime	Last	6E	6E 09-26	1.1527	1	1.1527	1.15275	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	21	21	639213740766310000	Unspecified	2026-08-03T17:14:36.6310000	639213848767965061	2026-08-03T20:14:36.7965061Z	730606649980	10000000	Realtime	Last	6E	6E 09-26	1.1527	1	1.1527	1.15275	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	22	22	639213740766310000	Unspecified	2026-08-03T17:14:36.6310000	639213848767965061	2026-08-03T20:14:36.7965061Z	730606650176	10000000	Realtime	Last	6E	6E 09-26	1.1527	1	1.1527	1.15275	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	23	23	639213740766310000	Unspecified	2026-08-03T17:14:36.6310000	639213848767965061	2026-08-03T20:14:36.7965061Z	730606650329	10000000	Realtime	Last	6E	6E 09-26	1.1527	2	1.1527	1.15275	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	24	24	639213740766310000	Unspecified	2026-08-03T17:14:36.6310000	639213848767965061	2026-08-03T20:14:36.7965061Z	730606650473	10000000	Realtime	Last	6E	6E 09-26	1.1527	1	1.1527	1.15275	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	25	25	639213740766310000	Unspecified	2026-08-03T17:14:36.6310000	639213848767965061	2026-08-03T20:14:36.7965061Z	730606650620	10000000	Realtime	Last	6E	6E 09-26	1.1527	4	1.1527	1.15275	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	26	26	639213740766310000	Unspecified	2026-08-03T17:14:36.6310000	639213848767975031	2026-08-03T20:14:36.7975031Z	730606650771	10000000	Realtime	Last	6E	6E 09-26	1.1527	1	1.1527	1.15275	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	27	27	639213740766310000	Unspecified	2026-08-03T17:14:36.6310000	639213848767975031	2026-08-03T20:14:36.7975031Z	730606650928	10000000	Realtime	Last	6E	6E 09-26	1.1527	1	1.1527	1.15275	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	28	28	639213740766310000	Unspecified	2026-08-03T17:14:36.6310000	639213848768330181	2026-08-03T20:14:36.8330181Z	730607007302	10000000	Realtime	DailyVolume	6E	6E 09-26	0	135969	-1.7976931348623157E+308	-1.7976931348623157E+308	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	29	29	639213740766560000	Unspecified	2026-08-03T17:14:36.6560000	639213848768636666	2026-08-03T20:14:36.8636666Z	730607322753	10000000	Realtime	Ask	6E	6E 09-26	1.1527	1	1.1527	1.15275	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	30	30	639213740766560000	Unspecified	2026-08-03T17:14:36.6560000	639213848768647183	2026-08-03T20:14:36.8647183Z	730607323615	10000000	Realtime	Bid	6E	6E 09-26	1.15265	79	1.15265	1.1527	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	31	31	639213740766340000	Unspecified	2026-08-03T17:14:36.6340000	639213848768647183	2026-08-03T20:14:36.8647183Z	730607323781	10000000	Realtime	Ask	6E	6E 09-26	1.15275	99	1.15265	1.15275	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	32	32	639213740766340000	Unspecified	2026-08-03T17:14:36.6340000	639213848768647183	2026-08-03T20:14:36.8647183Z	730607323985	10000000	Realtime	Bid	6E	6E 09-26	1.1527	1	1.15265	1.15275	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	33	33	639213740766340000	Unspecified	2026-08-03T17:14:36.6340000	639213848768647183	2026-08-03T20:14:36.8647183Z	730607324649	10000000	Realtime	Last	6E	6E 09-26	1.1527	1	1.1527	1.15275	sell	quote_rule	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	34	34	639213740766560000	Unspecified	2026-08-03T17:14:36.6560000	639213848768647183	2026-08-03T20:14:36.8647183Z	730607324801	10000000	Realtime	Ask	6E	6E 09-26	1.1527	1	1.1527	1.15275	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	35	35	639213740766560000	Unspecified	2026-08-03T17:14:36.6560000	639213848768647183	2026-08-03T20:14:36.8647183Z	730607324933	10000000	Realtime	Bid	6E	6E 09-26	1.15265	79	1.15265	1.1527	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	36	36	639213740766560000	Unspecified	2026-08-03T17:14:36.6560000	639213848768647183	2026-08-03T20:14:36.8647183Z	730607325058	10000000	Realtime	DailyVolume	6E	6E 09-26	0	135970	-1.7976931348623157E+308	-1.7976931348623157E+308	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	37	37	639213740767290000	Unspecified	2026-08-03T17:14:36.7290000	639213848769239110	2026-08-03T20:14:36.9239110Z	730607922275	10000000	Realtime	Bid	6E	6E 09-26	1.15265	77	1.15265	1.1527	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	38	38	639213740767690000	Unspecified	2026-08-03T17:14:36.7690000	639213848769497249	2026-08-03T20:14:36.9497249Z	730608178802	10000000	Realtime	Bid	6E	6E 09-26	1.15265	80	1.15265	1.1527	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	39	39	639213740769290000	Unspecified	2026-08-03T17:14:36.9290000	639213848771085698	2026-08-03T20:14:37.1085698Z	730609764271	10000000	Realtime	Bid	6E	6E 09-26	1.15265	76	1.15265	1.1527	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	40	40	639213740771830000	Unspecified	2026-08-03T17:14:37.1830000	639213848773598237	2026-08-03T20:14:37.3598237Z	730612275401	10000000	Realtime	Ask	6E	6E 09-26	1.1527	4	1.15265	1.1527	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	41	41	639213740771830000	Unspecified	2026-08-03T17:14:37.1830000	639213848773598237	2026-08-03T20:14:37.3598237Z	730612276408	10000000	Realtime	Bid	6E	6E 09-26	1.15265	74	1.15265	1.1527	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	42	42	639213740776480000	Unspecified	2026-08-03T17:14:37.6480000	639213848778330532	2026-08-03T20:14:37.8330532Z	730617006804	10000000	Realtime	Ask	6E	6E 09-26	1.1527	5	1.15265	1.1527	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	43	43	639213740791500000	Unspecified	2026-08-03T17:14:39.1500000	639213848793192918	2026-08-03T20:14:39.3192918Z	730631868848	10000000	Realtime	Ask	6E	6E 09-26	1.1527	7	1.15265	1.1527	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
20260803T2014302676020Z-9cfd77bd095a4596a3dac85103f4300a	pid-13004-start-639213828543977486	44	44	639213740791500000	Unspecified	2026-08-03T17:14:39.1500000	639213848793192918	2026-08-03T20:14:39.3192918Z	730631869687	10000000	Realtime	Bid	6E	6E 09-26	1.15265	66	1.15265	1.1527	unknown	not_applicable	nt8_event_time	nt8_snapshot	live_l1
